Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,60.586,61.264,61.942,62.62,63.298,63.976,63.9136,63.8512,63.7888,..
Argentina,ARG,"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS,8.781970833,8.681274041,6.251936104,8.445602077,8.287552598,6.847394981,7.18872235,7.950325716,6.000915274,..
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,12.93835616,..,12.93835616,..,..
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.4,94.8,97.9,94.97,97.14,98.2,97.04,..,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.382704081,4.682973741,4.410972709,4.558611742,4.60043018,4.569635239,4.46229798,..,..,..
Argentina,ARG,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,55.4,76.6,..,..,..
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,25.71599472,21.866013,25.54763919,25.19619564,26.31521578,30.43651818,33.05971705,34.21055758,41.23058946,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2438.009419,2752.126821,2708.987292,2847.326879,2901.361487,2954.539451,3093.353228,..,..,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1846.936756,1924.372627,1852.323145,1909.725704,1918.506379,1906.629811,1894.617872,..,..,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,22.56052749,21.96494702,19.47245393,18.83208266,18.34412581,16.15046325,14.56093996,14.31708779,11.05781898,..
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1.20818E+11,1.29752E+11,1.33695E+11,1.26641E+11,1.39509E+11,1.36543E+11,1.46569E+11,1.44972E+11,1.59694E+11,..
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.413,2.396,2.382,2.37,2.358,2.347,2.335,2.322,..,..
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,6473150000,9725560000,4017158925,11332718626,10839930945,15323933917,9821661858,5065335542,11978689467,..
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,295500,292320,289140,285960,282992,280024,277056,274088,271120,..
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,2.88833E+11,3.63137E+11,3.3449E+11,4.25916E+11,5.332E+11,5.48935E+11,5.54155E+11,5.29726E+11,5.83169E+11,..
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,9.01574459,4.0938615,-6.013355331,10.35356745,6.14748634,-1.05287445,2.302484158,-2.558477446,2.372296017,..
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,6530,7680,7790,9240,10710,11870,12850,12330,12460,..
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,16560,17390,16200,17810,19230,19250,19850,19500,20010,..
Argentina,ARG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2.60978E+11,3.09956E+11,3.17997E+11,3.81029E+11,4.4627E+11,4.99782E+11,5.46425E+11,5.30063E+11,5.41108E+11,..
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6.61836E+11,7.02433E+11,6.61113E+11,7.34327E+11,8.0097E+11,8.1049E+11,8.44304E+11,8.38304E+11,8.68607E+11,..
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,20.68005139,20.54262956,16.15414603,18.33523638,19.29278655,17.71403101,18.20802618,18.55236273,16.85394973,..
Argentina,ARG,"Gross enrollment ratio, primary, both sexes (%)",SE.PRM.ENRR,119.3486862,119.4411621,118.2114105,116.7181625,114.7684708,112.9782562,110.5659866,..,..,..
