Population,Value
Afghanistan,112.4
Albania,185
Algeria,116.2
Angola,89.9
Argentina,230.4
Armenia,305.6
Australia,373.9
Austria,295.2
Azerbaijan,165.8
Bahamas,199.5
Bahrain,112.8
Bangladesh,109.4
Barbados,277.2
Belarus,275.5
Belgium,364.8
Belize,160.6
Benin,87.2
Bhutan,82
Bolivia (Plurinational State of),123.9
Bosnia and Herzegovena,180
Botswana,113.9
Brazil,231.6
Brunei Darussalam,149.5
Bulgaria,260.5
Burkina Faso,75.9
Burundi,132.2
Cabo Verde,60.9
Cambodia,155.3
Cameroon,81.2
Canada,320.8
Central African Republic,86.9
Chad,77.4
Chile,195.3
China,211.2
Colombia,175.2
Comoros,81.9
Congo,102.5
Costa Rica,193.5
Croatia,319.9
Cuba,250.8
Cyprus,218.2
Czech Republic,345.9
Democratic People%u2019s Republic of Korea,204.2
Democratic Republic of the Congo,83.7
Denmark,354.3
Djibouti,73.7
Dominican Republic,158.5
Ecuador,162
Egypt,158.4
El Salvador,136.6
Equatorial Guinea,76.1
Eritrea,82.8
Estonia,321.9
Ethiopia,73.2
Fiji,91.3
Finland,290.1
France (metropolitan),356
"France, Guadeloupe",260.9
"France, La Reunion",242.5
"France, Martinique",358.4
"France, New Caledonia",330.7
French Guyana,174.1
French Polynesia,287.4
Gabon,79.9
The Gambia,67.3
Georgia,207.8
Germany,323.7
Ghana,79.2
Greece,194.8
Guatemala,116.4
Guinea,88.9
Guinea-Bissau,70
Guyana,144.4
Haiti,102.9
Honduras,116
Hungary,356.1
Iceland,299.5
India,92.4
Indonesia,136.2
"Iran, Islamic Republic of",134.7
Iraq,144.6
Ireland,343.3
Israel,318
Italy,312.9
Jamaica,222
Japan,260.4
Jordan,153.3
Kazakhstan,282.2
Kenya,167.2
"Korea, Republic of",340
Kuwait,89.8
Kyrgyzstan,151.6
Lao People%u2019s Democratic Republic,165.5
Latvia,325
Lebanon,203.9
Lesotho,114
Liberia,82.9
Libya,135.9
Lithuania,311.8
Luxembourg,309.1
Madagascar,142.4
Malawi,123.5
Malaysia,144.9
Maldives,91.6
Mali,83.8
Malta,267.7
Mauritania,74.4
Mauritius,171.1
Mexico,123.9
Mongolia,237.7
Montenegro,262.7
Morocco,122.7
Mozambique,118.3
Myanmar,149.4
Namibia,86.3
Nepal,85.6
Netherlands,327.8
New Zealand,320.1
Nicaragua,106.1
Niger,56.7
Nigeria,79
Norway,368.7
Oman,78.6
Pakistan,96
Panama,150.1
Papua New Guinea,156.7
Paraguay,143.2
Peru,140.9
Philippines,139.9
Poland,269.2
Portugal,306.3
Puerto Rico,237.2
Qatar,104
Republic of Moldova,230
Romania,271
Russian Federation,245.8
Rwanda,130.2
Samoa,92.5
Saudi Arabia,85.9
Senegal,85.5
Serbia,299.2
Sierra Leone,83.8
Singapore,218.8
Slovakia,338.2
Slovenia,358.2
Solomon Islands,89.3
Somalia,111.9
South Africa,224.3
South Sudan,123.1
Spain,312.8
Sri Lanka,86.9
Sudan,92
Suriname,163.8
Swaziland,122.1
Sweden,296.8
Switzerland,337.9
Syrian Arab Republic,148.3
Tajikistan,128.7
Thailand,149.6
The former Yugoslav Republic of Macedonia,265.5
Timor-Leste,183.9
Togo,77.2
Trinidad and Tobago,273.5
Tunisia,127
Turkey,257.8
Turkmenistan,159.4
Uganda,175.7
Ukraine,231.9
United Arab Emirates,83.8
United Kingdom,284
United Republic of Tanzania,115.8
United States of America,347
"United States of America, Guam",198
Uruguay,297.5
Uzbekistan,96.9
Vanuatu,98.2
Venezuela (Bolivarian Republic of),146.9
Viet Nam,172.9
West Bank and Gaza Strip,150.5
Yemen,81.2
Zambia,115.1
Zimbabwe,167
