Population,Value
Afghanistan,97.7
Albania,112.4
Algeria,74.6
Angola,75.6
Argentina,115.1
Armenia,150.3
Australia,96.4
Austria,103.5
Azerbaijan,93.2
Bahamas,99.9
Bahrain,54.3
Bangladesh,80.8
Barbados,109.3
Belarus,120.6
Belgium,116.2
Belize,96.9
Benin,73.1
Bhutan,67.2
Bolivia (Plurinational State of),90.9
Bosnia and Herzegovena,95.1
Botswana,71.3
Brazil,103.7
Brunei Darussalam,78.4
Bulgaria,120.5
Burkina Faso,75.8
Burundi,117
Cabo Verde,50.2
Cambodia,110.9
Cameroon,69.5
Canada,103.2
Central African Republic,74.3
Chad,72.6
Chile,103
China,122.2
Colombia,85
Comoros,81.4
Congo,93.1
Costa Rica,84.9
Croatia,136.7
Cuba,123.8
Cyprus,78.4
Czech Republic,121.7
Democratic People%u2019s Republic of Korea,125.5
Democratic Republic of the Congo,59.9
Denmark,124.9
Djibouti,73
Dominican Republic,90.5
Ecuador,94.5
Egypt,103.4
El Salvador,95
Equatorial Guinea,65.7
Eritrea,83.4
Estonia,122.6
Ethiopia,84.5
Fiji,85.2
Finland,86.1
France (metropolitan),107.9
"France, Guadeloupe",93.6
"France, La Reunion",81.9
"France, Martinique",95.1
"France, New Caledonia",127.3
French Guyana,95.5
French Polynesia,134.4
Gabon,54.6
The Gambia,58.2
Georgia,97.9
Germany,100.8
Ghana,63.6
Greece,98.6
Guatemala,96.4
Guinea,73.9
Guinea-Bissau,67.5
Guyana,101.8
Haiti,83.4
Honduras,90.3
Hungary,152.1
Iceland,87.7
India,64.5
Indonesia,89.3
"Iran, Islamic Republic of",81.9
Iraq,96.6
Ireland,108.4
Israel,94.4
Italy,101.8
Jamaica,108.3
Japan,93.8
Jordan,95.5
Kazakhstan,140.2
Kenya,135.3
"Korea, Republic of",100.3
Kuwait,54.8
Kyrgyzstan,99.9
Lao People%u2019s Democratic Republic,118.1
Latvia,128.8
Lebanon,103.2
Lesotho,78.3
Liberia,75.8
Libya,75.1
Lithuania,129
Luxembourg,96.9
Madagascar,103.7
Malawi,124.4
Malaysia,85.7
Maldives,53.7
Mali,89.9
Malta,89.5
Mauritania,67.2
Mauritius,101.5
Mexico,68.9
Mongolia,161
Montenegro,139
Morocco,78.4
Mozambique,114.8
Myanmar,112.6
Namibia,51.9
Nepal,67.7
Netherlands,117
New Zealand,103.8
Nicaragua,80.9
Niger,53.9
Nigeria,72.1
Norway,99.3
Oman,55.3
Pakistan,79.6
Panama,79.1
Papua New Guinea,125.1
Paraguay,91.6
Peru,92.1
Philippines,90.7
Poland,131
Portugal,99
Puerto Rico,71.1
Qatar,69.4
Republic of Moldova,120.3
Romania,127.1
Russian Federation,122.5
Rwanda,108.1
Samoa,55.6
Saudi Arabia,53.9
Senegal,78.7
Serbia,147.8
Sierra Leone,82.1
Singapore,90.5
Slovakia,125.8
Slovenia,125.4
Solomon Islands,86
Somalia,106.2
South Africa,117.9
South Sudan,106.3
Spain,98.1
Sri Lanka,54.6
Sudan,72.9
Suriname,97.7
Swaziland,85
Sweden,92.2
Switzerland,92.5
Syrian Arab Republic,97.1
Tajikistan,89.6
Thailand,93.7
The former Yugoslav Republic of Macedonia,141.6
Timor-Leste,129.7
Togo,71.2
Trinidad and Tobago,113.9
Tunisia,66
Turkey,128.8
Turkmenistan,102
Uganda,134.2
Ukraine,113.9
United Arab Emirates,58
United Kingdom,110
United Republic of Tanzania,91.8
United States of America,105.8
"United States of America, Guam",78.9
Uruguay,144.8
Uzbekistan,69.6
Vanuatu,77.4
Venezuela (Bolivarian Republic of),85.6
Viet Nam,108.7
West Bank and Gaza Strip,100.5
Yemen,64.4
Zambia,104.9
Zimbabwe,142.7
