Population,Value
Afghanistan,3.3
Albania,10
Algeria,5.9
Angola,2.3
Argentina,6
Armenia,12.3
Australia,7.6
Austria,11.4
Azerbaijan,2.7
Bahamas,2
Bahrain,6.3
Bangladesh,1.6
Barbados,4.4
Belarus,6.5
Belgium,17.5
Belize,3.2
Benin,1.7
Bhutan,1
Bolivia (Plurinational State of),2.4
Bosnia and Herzegovena,7
Botswana,0.9
Brazil,4.5
Brunei Darussalam,1.6
Bulgaria,11
Burkina Faso,2.9
Burundi,2.1
Cabo Verde,1.2
Cambodia,2.2
Cameroon,0.8
Canada,11.5
Central African Republic,1.3
Chad,1.4
Chile,3.9
China,3
Colombia,2.9
Comoros,1.7
Congo,2
Costa Rica,3.2
Croatia,10.9
Cuba,7.4
Cyprus,11.6
Czech Republic,11.5
Democratic People%u2019s Republic of Korea,4.6
Democratic Republic of the Congo,0.5
Denmark,14.4
Djibouti,2.2
Dominican Republic,1.1
Ecuador,2.2
Egypt,13.1
El Salvador,1.5
Equatorial Guinea,2.6
Eritrea,2.2
Estonia,7
Ethiopia,2.5
Fiji,3.1
Finland,8.3
France (metropolitan),8
"France, Guadeloupe",3.9
"France, La Reunion",4.9
"France, Martinique",3.5
"France, New Caledonia",4.5
French Guyana,6
French Polynesia,6
Gabon,3.8
The Gambia,0.8
Georgia,4.1
Germany,13.4
Ghana,2.1
Greece,9.1
Guatemala,0.6
Guinea,0.9
Guinea-Bissau,2.2
Guyana,0.5
Haiti,1.2
Honduras,1
Hungary,14.1
Iceland,11.5
India,1.6
Indonesia,3.2
"Iran, Islamic Republic of",8.3
Iraq,11.4
Ireland,8.9
Israel,12.6
Italy,11.8
Jamaica,3.3
Japan,5.6
Jordan,7.1
Kazakhstan,6.7
Kenya,1.7
"Korea, Republic of",5.2
Kuwait,5.5
Kyrgyzstan,2.8
Lao People%u2019s Democratic Republic,2.1
Latvia,9.2
Lebanon,16.6
Lesotho,1.2
Liberia,1.1
Libya,8.6
Lithuania,8.7
Luxembourg,8.7
Madagascar,3.2
Malawi,7
Malaysia,3.7
Maldives,2
Mali,6.7
Malta,15.8
Mauritania,2.2
Mauritius,4.3
Mexico,2.9
Mongolia,1.1
Montenegro,10.1
Morocco,5.8
Mozambique,1.5
Myanmar,2.1
Namibia,2.1
Nepal,2
Netherlands,8.2
New Zealand,2.9
Nicaragua,0.9
Niger,1.9
Nigeria,1
Norway,13.5
Oman,4.8
Pakistan,3.4
Panama,2.3
Papua New Guinea,1.5
Paraguay,2.2
Peru,3.1
Philippines,1.5
Poland,11
Portugal,12
Puerto Rico,5.5
Qatar,5.3
Republic of Moldova,6.3
Romania,9.7
Russian Federation,5.7
Rwanda,3.5
Samoa,1.3
Saudi Arabia,3.6
Senegal,3.9
Serbia,10.6
Sierra Leone,1
Singapore,4.3
Slovakia,10.1
Slovenia,10.7
Solomon Islands,1.5
Somalia,2.1
South Africa,4.4
South Sudan,1.9
Spain,13.9
Sri Lanka,1.8
Sudan,2.3
Suriname,3.1
Swaziland,1.9
Sweden,10.3
Switzerland,12.2
Syrian Arab Republic,9.6
Tajikistan,3
Thailand,2.7
The former Yugoslav Republic of Macedonia,11.5
Timor-Leste,3.5
Togo,1.8
Trinidad and Tobago,3.3
Tunisia,8.3
Turkey,15.2
Turkmenistan,3.5
Uganda,0.9
Ukraine,6
United Arab Emirates,4.3
United Kingdom,5.8
United Republic of Tanzania,3.2
United States of America,11.6
"United States of America, Guam",2.9
Uruguay,8.5
Uzbekistan,2.3
Vanuatu,1.4
Venezuela (Bolivarian Republic of),3.7
Viet Nam,1.1
West Bank and Gaza Strip,7.6
Yemen,1.8
Zambia,2.8
Zimbabwe,2.9
