Population,Value
Afghanistan,3.4
Albania,10.4
Algeria,5.4
Angola,0.8
Argentina,4.5
Armenia,9.6
Australia,5.4
Austria,4.7
Azerbaijan,5.6
Bahamas,4.7
Bahrain,2.8
Bangladesh,0.9
Barbados,5.7
Belarus,4.4
Belgium,5.6
Belize,3.8
Benin,0.1
Bhutan,1.1
Bolivia (Plurinational State of),2.7
Bosnia and Herzegovena,5.6
Botswana,0.7
Brazil,5.7
Brunei Darussalam,4.9
Bulgaria,7.3
Burkina Faso,0.2
Burundi,1.2
Cabo Verde,0.1
Cambodia,2.8
Cameroon,0.4
Canada,5.6
Central African Republic,0.8
Chad,0.8
Chile,4.6
China,4
Colombia,3
Comoros,0
Congo,0.4
Costa Rica,3.1
Croatia,8.6
Cuba,5.5
Cyprus,3.7
Czech Republic,5.4
Democratic People%u2019s Republic of Korea,5.1
Democratic Republic of the Congo,0.3
Denmark,5.8
Djibouti,0.3
Dominican Republic,3.3
Ecuador,4.4
Egypt,7.4
El Salvador,4.9
Equatorial Guinea,0.5
Eritrea,1.3
Estonia,5.2
Ethiopia,0.8
Fiji,0.2
Finland,5.2
France (metropolitan),5.1
"France, Guadeloupe",3.4
"France, La Reunion",3.7
"France, Martinique",1.7
"France, New Caledonia",2.1
French Guyana,3.8
French Polynesia,0.7
Gabon,0.9
The Gambia,0.7
Georgia,8.5
Germany,5.3
Ghana,0.4
Greece,7
Guatemala,4.1
Guinea,0
Guinea-Bissau,0.3
Guyana,0.3
Haiti,0.7
Honduras,4.1
Hungary,4.1
Iceland,5.3
India,1.6
Indonesia,2.1
"Iran, Islamic Republic of",4.2
Iraq,6
Ireland,5.8
Israel,6
Italy,4.9
Jamaica,1.4
Japan,2.8
Jordan,3.9
Kazakhstan,6.2
Kenya,2.9
"Korea, Republic of",3.4
Kuwait,1.7
Kyrgyzstan,3.2
Lao People%u2019s Democratic Republic,2.1
Latvia,8.7
Lebanon,4
Lesotho,0.4
Liberia,0.2
Libya,4
Lithuania,6.5
Luxembourg,5
Madagascar,1.4
Malawi,0.4
Malaysia,2.8
Maldives,0
Mali,0.5
Malta,4.5
Mauritania,0.3
Mauritius,4.3
Mexico,3.9
Mongolia,2.5
Montenegro,8.2
Morocco,2.9
Mozambique,0.1
Myanmar,1.8
Namibia,0.6
Nepal,1.3
Netherlands,5
New Zealand,4.8
Nicaragua,3.6
Niger,0.7
Nigeria,0.4
Norway,8.4
Oman,1.9
Pakistan,2.8
Panama,4.3
Papua New Guinea,0.4
Paraguay,2.2
Peru,5.4
Philippines,2.6
Poland,7.9
Portugal,5.9
Puerto Rico,3.7
Qatar,2.6
Republic of Moldova,3.9
Romania,5.7
Russian Federation,4.3
Rwanda,0.6
Samoa,0.5
Saudi Arabia,2
Senegal,0.2
Serbia,9.4
Sierra Leone,0.2
Singapore,2.3
Slovakia,7.2
Slovenia,5.8
Solomon Islands,0.7
Somalia,1.8
South Africa,1.7
South Sudan,1.5
Spain,5.1
Sri Lanka,2.1
Sudan,1.6
Suriname,4
Swaziland,0.4
Sweden,9.8
Switzerland,5.2
Syrian Arab Republic,4.9
Tajikistan,3.9
Thailand,2.2
The former Yugoslav Republic of Macedonia,8.7
Timor-Leste,2.2
Togo,0.2
Trinidad and Tobago,2.3
Tunisia,2.1
Turkey,6.1
Turkmenistan,5.4
Uganda,2
Ukraine,4.5
United Arab Emirates,2.6
United Kingdom,5.3
United Republic of Tanzania,0.3
United States of America,5.3
"United States of America, Guam",0.5
Uruguay,5
Uzbekistan,3.7
Vanuatu,1.6
Venezuela (Bolivarian Republic of),3.5
Viet Nam,3.1
West Bank and Gaza Strip,5.8
Yemen,4
Zambia,1.3
Zimbabwe,1.5
