Population,Value
Afghanistan,35.1
Albania,53.9
Algeria,48.5
Angola,23.5
Argentina,71.2
Armenia,74.1
Australia,86
Austria,68
Azerbaijan,25.4
Bahamas,98.9
Bahrain,42.5
Bangladesh,21.7
Barbados,94.7
Belarus,45.9
Belgium,111.9
Belize,39.6
Benin,30.2
Bhutan,4.6
Bolivia (Plurinational State of),19.2
Bosnia and Herzegovena,37.4
Botswana,19.9
Brazil,59.5
Brunei Darussalam,48.6
Bulgaria,58.5
Burkina Faso,22.7
Burundi,23.5
Cabo Verde,25.1
Cambodia,19.3
Cameroon,35.2
Canada,79.8
Central African Republic,31.4
Chad,34.1
Chile,34.8
China,22.1
Colombia,35.7
Comoros,17.4
Congo,23.5
Costa Rica,45.4
Croatia,60.9
Cuba,50.4
Cyprus,78.4
Czech Republic,70.3
Democratic People%u2019s Republic of Korea,36.8
Democratic Republic of the Congo,31.7
Denmark,105
Djibouti,35.9
Dominican Republic,38.1
Ecuador,32.7
Egypt,49.5
El Salvador,23.7
Equatorial Guinea,25.2
Eritrea,35.9
Estonia,51.6
Ethiopia,41.8
Fiji,65
Finland,89.4
France (metropolitan),89.7
"France, Guadeloupe",53.7
"France, La Reunion",46.6
"France, Martinique",59.6
"France, New Caledonia",87.6
French Guyana,37.1
French Polynesia,92.2
Gabon,16.1
The Gambia,9.8
Georgia,44
Germany,91.6
Ghana,25.6
Greece,43.9
Guatemala,11.9
Guinea,14.5
Guinea-Bissau,26
Guyana,50.4
Haiti,22
Honduras,19.9
Hungary,54.5
Iceland,96.3
India,25.8
Indonesia,40.3
"Iran, Islamic Republic of",28.1
Iraq,42.6
Ireland,92.3
Israel,80.5
Italy,91.3
Jamaica,55.8
Japan,51.5
Jordan,61
Kazakhstan,63
Kenya,38.3
"Korea, Republic of",52.1
Kuwait,46.7
Kyrgyzstan,27.3
Lao People%u2019s Democratic Republic,19
Latvia,52.1
Lebanon,78.7
Lesotho,9
Liberia,24.1
Libya,24.1
Lithuania,48.7
Luxembourg,89.1
Madagascar,26.6
Malawi,16.8
Malaysia,38.7
Maldives,31.6
Mali,29.8
Malta,85.9
Mauritania,25.8
Mauritius,64.2
Mexico,35.4
Mongolia,9.4
Montenegro,59.7
Morocco,40.8
Mozambique,14.5
Myanmar,22.1
Namibia,24.4
Nepal,13.7
Netherlands,99
New Zealand,85
Nicaragua,23.9
Niger,23.8
Nigeria,50.4
Norway,73.1
Oman,26
Pakistan,50.3
Panama,43
Papua New Guinea,33.7
Paraguay,43.8
Peru,28
Philippines,47
Poland,51.9
Portugal,67.6
Puerto Rico,57.5
Qatar,46.1
Republic of Moldova,38.7
Romania,50
Russian Federation,45.6
Rwanda,15.9
Samoa,23.2
Saudi Arabia,29.5
Senegal,22.4
Serbia,69
Sierra Leone,24.3
Singapore,65.7
Slovakia,57.5
Slovenia,66.5
Solomon Islands,47.6
Somalia,40.6
South Africa,41.5
South Sudan,31.8
Spain,67.3
Sri Lanka,30.9
Sudan,27.8
Suriname,41.4
Swaziland,10.5
Sweden,80.4
Switzerland,83.1
Syrian Arab Republic,52.5
Tajikistan,20.4
Thailand,29.3
The former Yugoslav Republic of Macedonia,76.2
Timor-Leste,32.6
Togo,27.2
Trinidad and Tobago,56.9
Tunisia,31.8
Turkey,39.1
Turkmenistan,26.8
Uganda,27.5
Ukraine,41.3
United Arab Emirates,39.2
United Kingdom,95
United Republic of Tanzania,19.4
United States of America,92.9
"United States of America, Guam",49.4
Uruguay,69.8
Uzbekistan,27.1
Vanuatu,31.8
Venezuela (Bolivarian Republic of),41.2
Viet Nam,23
West Bank and Gaza Strip,44
Yemen,27.4
Zambia,22.4
Zimbabwe,28.5
