,cancer,p,cor,incidence(<0.5/>0.5)
5,colon,2.55E-11,-0.65,2.22
7,leukemia,2.23E-10,-0.62,2.05
2,brain,1.48E-07,-0.53,2.56
9,lung,4.86E-07,-0.51,2.99
17,pancreatic,1.50E-06,-0.49,2.2
10,ovary,2.18E-04,-0.39,1.4
3,breast,2.56E-04,-0.39,1.54
16,myeloma,3.15E-04,-0.38,2
12,stomach,1.47E-03,-0.34,1.82
14,gallbladder,3.10E-03,-0.32,1.78
6,kidney,4.04E-03,-0.31,1.5
13,corpus,6.24E-03,-0.29,2.09
4,cervix,6.45E-03,0.29,0.76
15,lyphoma,1.92E-02,-0.25,1.4
18,testis,1.94E-02,-0.25,1.76
1,bladder,3.59E-02,-0.23,1.2
11,prostate,1.00E-01,-0.18,1.65
8,liver,5.96E-01,-0.06,1.05
,all,2.70E-08,-0.58,1.4
