Population,Value
Afghanistan,8.8
Albania,5
Algeria,8.5
Angola,35.5
Argentina,20.8
Armenia,13.8
Australia,5.5
Austria,5.8
Azerbaijan,9.8
Bahamas,20.6
Bahrain,5.9
Bangladesh,19.2
Barbados,25.4
Belarus,13.2
Belgium,8.6
Belize,32.7
Benin,27.6
Bhutan,12.8
Bolivia (Plurinational State of),47.7
Bosnia and Herzegovena,13.7
Botswana,30.3
Brazil,16.3
Brunei Darussalam,16.9
Bulgaria,24.5
Burkina Faso,23.3
Burundi,49.3
Cabo Verde,29
Cambodia,23.8
Cameroon,30
Canada,6.3
Central African Republic,21
Chad,18.8
Chile,12.8
China,7.5
Colombia,18.7
Comoros,61.3
Congo,33.1
Costa Rica,11.4
Croatia,10
Cuba,17.1
Cyprus,4.1
Czech Republic,14.1
Democratic People%u2019s Republic of Korea,12.4
Democratic Republic of the Congo,25.2
Denmark,10.6
Djibouti,17.3
Dominican Republic,30.7
Ecuador,29
Egypt,2.3
El Salvador,24.8
Equatorial Guinea,25.1
Eritrea,17.4
Estonia,19.9
Ethiopia,26.4
Fiji,37.8
Finland,4.3
France (metropolitan),6.8
"France, Guadeloupe",13
"France, La Reunion",15.3
"France, Martinique",8.7
"France, New Caledonia",15.3
French Guyana,36.6
French Polynesia,8.2
Gabon,19.9
The Gambia,26.1
Georgia,14.2
Germany,8.2
Ghana,35.4
Greece,5.2
Guatemala,22.3
Guinea,38.4
Guinea-Bissau,29.8
Guyana,46.9
Haiti,24.9
Honduras,29.4
Hungary,18
Iceland,7.9
India,22
Indonesia,17.3
"Iran, Islamic Republic of",2.8
Iraq,2.8
Ireland,13.6
Israel,4.6
Italy,6.7
Jamaica,26.3
Japan,10.9
Jordan,2.4
Kazakhstan,29.4
Kenya,40.1
"Korea, Republic of",9.5
Kuwait,4
Kyrgyzstan,23.7
Lao People%u2019s Democratic Republic,12.5
Latvia,17.3
Lebanon,4.6
Lesotho,38.4
Liberia,30.1
Libya,9.7
Lithuania,26.1
Luxembourg,4.9
Madagascar,44.6
Malawi,75.9
Malaysia,15.6
Maldives,11
Mali,44.2
Malta,3.8
Mauritania,29.4
Mauritius,15
Mexico,23.3
Mongolia,24.3
Montenegro,20.2
Morocco,14.3
Mozambique,65
Myanmar,20.6
Namibia,14.7
Nepal,19
Netherlands,6.8
New Zealand,5.3
Nicaragua,36.2
Niger,8.6
Nigeria,29
Norway,9.8
Oman,5.3
Pakistan,7.9
Panama,18.7
Papua New Guinea,34.5
Paraguay,34.2
Peru,32.7
Philippines,16
Poland,12.2
Portugal,9
Puerto Rico,11.4
Qatar,5.1
Republic of Moldova,19.6
Romania,28.6
Russian Federation,15.3
Rwanda,41.8
Samoa,17.1
Saudi Arabia,2.7
Senegal,41.4
Serbia,23.8
Sierra Leone,30.2
Singapore,8.1
Slovakia,16.1
Slovenia,10.5
Solomon Islands,28.5
Somalia,33.4
South Africa,31.7
South Sudan,30.4
Spain,7.8
Sri Lanka,13.1
Sudan,7.9
Suriname,38
Swaziland,53.1
Sweden,7.4
Switzerland,3.6
Syrian Arab Republic,2.6
Tajikistan,9.9
Thailand,17.8
The former Yugoslav Republic of Macedonia,12.4
Timor-Leste,13.3
Togo,21.5
Trinidad and Tobago,24.5
Tunisia,4.8
Turkey,4.3
Turkmenistan,13.1
Uganda,44.4
Ukraine,16.6
United Arab Emirates,9.5
United Kingdom,7.1
United Republic of Tanzania,54
United States of America,6.6
"United States of America, Guam",9
Uruguay,18.9
Uzbekistan,13.5
Vanuatu,19.2
Venezuela (Bolivarian Republic of),32.8
Viet Nam,10.6
West Bank and Gaza Strip,2
Yemen,3.1
Zambia,58
Zimbabwe,56.4
