Population,Value
Afghanistan,3.6
Albania,7.9
Algeria,11
Angola,4.9
Argentina,19.1
Armenia,17
Australia,32
Austria,19.6
Azerbaijan,6.4
Bahamas,19.9
Bahrain,11
Bangladesh,2.9
Barbados,26.1
Belarus,20.7
Belgium,29.5
Belize,8.5
Benin,3.7
Bhutan,2
Bolivia (Plurinational State of),9.3
Bosnia and Herzegovena,13.3
Botswana,2.8
Brazil,14.9
Brunei Darussalam,17.4
Bulgaria,25.1
Burkina Faso,2
Burundi,6.2
Cabo Verde,3.5
Cambodia,6.6
Cameroon,3.3
Canada,28.5
Central African Republic,3.9
Chad,3.8
Chile,14.4
China,11.6
Colombia,12.5
Comoros,3.2
Congo,5.6
Costa Rica,15.9
Croatia,24.7
Cuba,21.6
Cyprus,22.2
Czech Republic,27.1
Democratic People%u2019s Republic of Korea,18.5
Democratic Republic of the Congo,5.2
Denmark,35.7
Djibouti,5
Dominican Republic,10.5
Ecuador,11.3
Egypt,5.2
El Salvador,8.9
Equatorial Guinea,4
Eritrea,5
Estonia,22.6
Ethiopia,6.3
Fiji,7.3
Finland,19.7
France (metropolitan),24.9
"France, Guadeloupe",11.6
"France, La Reunion",14.6
"France, Martinique",23.1
"France, New Caledonia",19.7
French Guyana,2.8
French Polynesia,10.6
Gabon,4.8
The Gambia,1
Georgia,7.5
Germany,23.3
Ghana,2.9
Greece,11.2
Guatemala,4.4
Guinea,1.3
Guinea-Bissau,3.1
Guyana,9
Haiti,7.7
Honduras,7.1
Hungary,30.5
Iceland,28.2
India,5.1
Indonesia,10.1
"Iran, Islamic Republic of",10.5
Iraq,6.5
Ireland,27.7
Israel,30.3
Italy,27.5
Jamaica,13.7
Japan,23.5
Jordan,21.2
Kazakhstan,19.4
Kenya,7.2
"Korea, Republic of",33.3
Kuwait,13.3
Kyrgyzstan,8.3
Lao People%u2019s Democratic Republic,7.7
Latvia,20.2
Lebanon,13.5
Lesotho,1.2
Liberia,3.2
Libya,14.3
Lithuania,18.9
Luxembourg,21.6
Madagascar,7.1
Malawi,3.4
Malaysia,15.7
Maldives,4.9
Mali,5.9
Malta,25.2
Mauritania,3.3
Mauritius,15.8
Mexico,6.7
Mongolia,6.3
Montenegro,21.1
Morocco,7.3
Mozambique,1
Myanmar,7.4
Namibia,4.5
Nepal,2.7
Netherlands,33.9
New Zealand,33.5
Nicaragua,8.2
Niger,4.6
Nigeria,4
Norway,35.8
Oman,7.6
Pakistan,3.3
Panama,11.1
Papua New Guinea,5.6
Paraguay,11.3
Peru,11.9
Philippines,11
Poland,19.5
Portugal,23.6
Puerto Rico,20.6
Qatar,15.5
Republic of Moldova,23
Romania,20.2
Russian Federation,21.8
Rwanda,6.1
Samoa,4.2
Saudi Arabia,10.8
Senegal,3.6
Serbia,23.3
Sierra Leone,3.3
Singapore,28
Slovakia,29.3
Slovenia,27
Solomon Islands,7.9
Somalia,6.8
South Africa,9.5
South Sudan,5.8
Spain,24.2
Sri Lanka,3.5
Sudan,3.2
Suriname,12.1
Swaziland,1.6
Sweden,26.5
Switzerland,23.6
Syrian Arab Republic,13.8
Tajikistan,4
Thailand,10.1
The former Yugoslav Republic of Macedonia,20.5
Timor-Leste,9.1
Togo,3
Trinidad and Tobago,16.8
Tunisia,10
Turkey,13.1
Turkmenistan,9
Uganda,6.6
Ukraine,19.8
United Arab Emirates,8.7
United Kingdom,24.4
United Republic of Tanzania,5.8
United States of America,22
"United States of America, Guam",16.4
Uruguay,25.4
Uzbekistan,4.9
Vanuatu,7.5
Venezuela (Bolivarian Republic of),9.9
Viet Nam,9
West Bank and Gaza Strip,15
Yemen,3.2
Zambia,4.5
Zimbabwe,9.3
