Population,Value
Afghanistan,5.3
Albania,4.8
Algeria,7.5
Angola,4
Argentina,17
Armenia,13.4
Australia,10.7
Austria,13.3
Azerbaijan,4.3
Bahamas,12
Bahrain,3.2
Bangladesh,3.3
Barbados,16.1
Belarus,17.5
Belgium,14.7
Belize,5.8
Benin,4.2
Bhutan,4
Bolivia (Plurinational State of),5.7
Bosnia and Herzegovena,12.7
Botswana,3.2
Brazil,8.8
Brunei Darussalam,14.1
Bulgaria,21.3
Burkina Faso,2.6
Burundi,4.8
Cabo Verde,3.4
Cambodia,8.2
Cameroon,2.4
Canada,13.2
Central African Republic,4.2
Chad,3.9
Chile,9.4
China,9
Colombia,7.6
Comoros,2.3
Congo,4.3
Costa Rica,8.1
Croatia,26.7
Cuba,10.4
Cyprus,8.6
Czech Republic,22.6
Democratic People%u2019s Republic of Korea,15
Democratic Republic of the Congo,4.5
Denmark,16.8
Djibouti,6
Dominican Republic,5.9
Ecuador,5.8
Egypt,4.1
El Salvador,4.7
Equatorial Guinea,3.8
Eritrea,6.4
Estonia,17.6
Ethiopia,6.9
Fiji,4.5
Finland,10.2
France (metropolitan),12.9
"France, Guadeloupe",8.6
"France, La Reunion",9
"France, Martinique",11.4
"France, New Caledonia",8.2
French Guyana,4.3
French Polynesia,7.1
Gabon,3.9
The Gambia,1.4
Georgia,5.5
Germany,13.1
Ghana,3.9
Greece,9.2
Guatemala,2.9
Guinea,1.9
Guinea-Bissau,3.1
Guyana,7.2
Haiti,4.6
Honduras,4.4
Hungary,30.1
Iceland,9.3
India,5.4
Indonesia,10.8
"Iran, Islamic Republic of",6.9
Iraq,5.8
Ireland,16
Israel,12.6
Italy,13.5
Jamaica,8.8
Japan,15
Jordan,17.9
Kazakhstan,16.9
Kenya,7.5
"Korea, Republic of",14.6
Kuwait,5.6
Kyrgyzstan,5.7
Lao People%u2019s Democratic Republic,7.7
Latvia,17.7
Lebanon,10.5
Lesotho,2.8
Liberia,2.6
Libya,8.2
Lithuania,19.7
Luxembourg,13.9
Madagascar,7
Malawi,2.7
Malaysia,10.5
Maldives,5.1
Mali,5.2
Malta,14.5
Mauritania,3.1
Mauritius,12.2
Mexico,4.8
Mongolia,4
Montenegro,20.7
Morocco,6.9
Mozambique,1.2
Myanmar,8
Namibia,3.6
Nepal,3
Netherlands,16
New Zealand,16.8
Nicaragua,5.4
Niger,4.4
Nigeria,3.5
Norway,14.2
Oman,4.8
Pakistan,3.5
Panama,7.5
Papua New Guinea,8.7
Paraguay,8.1
Peru,6
Philippines,9.7
Poland,20.6
Portugal,19
Puerto Rico,12.5
Qatar,6.6
Republic of Moldova,22
Romania,18.2
Russian Federation,19.9
Rwanda,3.1
Samoa,6.4
Saudi Arabia,7.3
Senegal,3.5
Serbia,22.8
Sierra Leone,2.8
Singapore,14.7
Slovakia,26.9
Slovenia,22.9
Solomon Islands,4.9
Somalia,7.3
South Africa,11
South Sudan,6
Spain,17.1
Sri Lanka,2.3
Sudan,5
Suriname,14.6
Swaziland,2.7
Sweden,12.2
Switzerland,12.8
Syrian Arab Republic,12.5
Tajikistan,5.1
Thailand,9
The former Yugoslav Republic of Macedonia,15.5
Timor-Leste,14
Togo,3.7
Trinidad and Tobago,18.9
Tunisia,7
Turkey,12.6
Turkmenistan,6
Uganda,5.8
Ukraine,18.8
United Arab Emirates,5
United Kingdom,13
United Republic of Tanzania,2.7
United States of America,11
"United States of America, Guam",10
Uruguay,19
Uzbekistan,3.9
Vanuatu,5.4
Venezuela (Bolivarian Republic of),6.7
Viet Nam,8
West Bank and Gaza Strip,11
Yemen,4.5
Zambia,4.1
Zimbabwe,6.2
