Population,Value
Afghanistan,14.2
Albania,42
Algeria,27.6
Angola,8.8
Argentina,118.9
Armenia,77.1
Australia,276.1
Austria,230.9
Azerbaijan,18.5
Bahamas,70.8
Bahrain,18.8
Bangladesh,10.8
Barbados,138.5
Belarus,122.2
Belgium,324.3
Belize,31.1
Benin,10.7
Bhutan,12.8
Bolivia (Plurinational State of),23.3
Bosnia and Herzegovena,119.1
Botswana,8.5
Brazil,57.2
Brunei Darussalam,67.7
Bulgaria,212
Burkina Faso,5.1
Burundi,9.4
Cabo Verde,8
Cambodia,21.4
Cameroon,6.6
Canada,285.5
Central African Republic,9.9
Chad,9
Chile,60.7
China,59.6
Colombia,39.4
Comoros,4.1
Congo,8.3
Costa Rica,53.9
Croatia,293.3
Cuba,84.5
Cyprus,139.2
Czech Republic,277.7
Democratic People%u2019s Republic of Korea,76.7
Democratic Republic of the Congo,11.6
Denmark,291.8
Djibouti,14.4
Dominican Republic,33.4
Ecuador,32.5
Egypt,16.7
El Salvador,25.2
Equatorial Guinea,11.5
Eritrea,11
Estonia,167.8
Ethiopia,15.5
Fiji,18
Finland,209.8
France (metropolitan),261.4
"France, Guadeloupe",89.6
"France, La Reunion",65.9
"France, Martinique",146.7
"France, New Caledonia",92.1
French Guyana,23.4
French Polynesia,42.9
Gabon,13.1
The Gambia,2.6
Georgia,38.3
Germany,308.4
Ghana,10.3
Greece,122.9
Guatemala,11.5
Guinea,4.6
Guinea-Bissau,8.1
Guyana,27.9
Haiti,13.5
Honduras,16.9
Hungary,285.2
Iceland,177.5
India,11
Indonesia,37.4
"Iran, Islamic Republic of",27.5
Iraq,14.2
Ireland,217.8
Israel,228.8
Italy,304.4
Jamaica,53.2
Japan,420.6
Jordan,55.9
Kazakhstan,66.9
Kenya,16.1
"Korea, Republic of",309.9
Kuwait,26.7
Kyrgyzstan,16.4
Lao People%u2019s Democratic Republic,19.6
Latvia,141.1
Lebanon,55.1
Lesotho,5.4
Liberia,5.6
Libya,34.5
Lithuania,139.4
Luxembourg,268
Madagascar,16.9
Malawi,5.8
Malaysia,52.9
Maldives,13.2
Mali,10.3
Malta,244.5
Mauritania,7.6
Mauritius,62.5
Mexico,28.9
Mongolia,11.8
Montenegro,187.3
Morocco,27.2
Mozambique,2.4
Myanmar,24.5
Namibia,9.4
Nepal,8.1
Netherlands,325
New Zealand,259.2
Nicaragua,19.2
Niger,11
Nigeria,9.3
Norway,289.8
Oman,14.1
Pakistan,11.7
Panama,46.6
Papua New Guinea,19.2
Paraguay,37.5
Peru,31.7
Philippines,33.3
Poland,163.9
Portugal,265.1
Puerto Rico,137.4
Qatar,19.6
Republic of Moldova,143.2
Romania,157
Russian Federation,116.4
Rwanda,6.1
Samoa,20.1
Saudi Arabia,22.1
Senegal,7.7
Serbia,248.8
Sierra Leone,6.2
Singapore,180.2
Slovakia,249.8
Slovenia,270.2
Solomon Islands,10.2
Somalia,16.5
South Africa,29.6
South Sudan,15.2
Spain,276.1
Sri Lanka,12.8
Sudan,12.9
Suriname,75.5
Swaziland,5.7
Sweden,257.7
Switzerland,259.9
Syrian Arab Republic,39.5
Tajikistan,18.2
Thailand,72.9
The former Yugoslav Republic of Macedonia,147.2
Timor-Leste,34.5
Togo,9.4
Trinidad and Tobago,106.6
Tunisia,32.5
Turkey,54.7
Turkmenistan,21.4
Uganda,10.8
Ukraine,127.8
United Arab Emirates,12.2
United Kingdom,228.3
United Republic of Tanzania,7.4
United States of America,173.3
"United States of America, Guam",76
Uruguay,166.5
Uzbekistan,12.2
Vanuatu,10.1
Venezuela (Bolivarian Republic of),35.6
Viet Nam,29.3
West Bank and Gaza Strip,29.9
Yemen,11.2
Zambia,9.4
Zimbabwe,15.7
