Population,Value
Afghanistan,7.9
Albania,11.1
Algeria,1.5
Angola,3.2
Argentina,7.8
Armenia,26.7
Australia,12.1
Austria,10.4
Azerbaijan,2.8
Bahamas,15.5
Bahrain,4.7
Bangladesh,1.5
Barbados,34.1
Belarus,17.1
Belgium,13.2
Belize,15.9
Benin,3.4
Bhutan,0
Bolivia (Plurinational State of),4
Bosnia and Herzegovena,9.6
Botswana,4
Brazil,5.6
Brunei Darussalam,12.6
Bulgaria,17.8
Burkina Faso,2.3
Burundi,2.7
Cabo Verde,3.7
Cambodia,2.5
Cameroon,2.8
Canada,16.3
Central African Republic,2.5
Chad,3
Chile,5.4
China,8.6
Colombia,3.6
Comoros,1.4
Congo,3.8
Costa Rica,7.3
Croatia,12.5
Cuba,14
Cyprus,10.7
Czech Republic,18
Democratic People%u2019s Republic of Korea,5
Democratic Republic of the Congo,2.4
Denmark,13.5
Djibouti,2.5
Dominican Republic,4
Ecuador,3.8
Egypt,3.8
El Salvador,16.3
Equatorial Guinea,5.4
Eritrea,2.2
Estonia,14.6
Ethiopia,2
Fiji,11.3
Finland,13.9
France (metropolitan),10.7
"France, Guadeloupe",17
"France, La Reunion",5.2
"France, Martinique",7.6
"France, New Caledonia",22.1
French Guyana,5.1
French Polynesia,15.2
Gabon,7.5
The Gambia,1.1
Georgia,14.2
Germany,11.9
Ghana,3
Greece,7
Guatemala,17.4
Guinea,2.6
Guinea-Bissau,2.4
Guyana,22.6
Haiti,3.2
Honduras,14.8
Hungary,7.5
Iceland,11.8
India,2.3
Indonesia,5.6
"Iran, Islamic Republic of",2.5
Iraq,1.4
Ireland,11.1
Israel,15.4
Italy,14
Jamaica,12
Japan,10.6
Jordan,5.2
Kazakhstan,12.9
Kenya,6.6
"Korea, Republic of",5.8
Kuwait,7.5
Kyrgyzstan,8.4
Lao People%u2019s Democratic Republic,3.4
Latvia,16.7
Lebanon,7.7
Lesotho,2.5
Liberia,3.2
Libya,3.8
Lithuania,17.7
Luxembourg,24.2
Madagascar,2.9
Malawi,2.2
Malaysia,5.3
Maldives,3.1
Mali,3.5
Malta,15.3
Mauritania,2.7
Mauritius,11.5
Mexico,4.9
Mongolia,1.9
Montenegro,15.3
Morocco,3
Mozambique,1.9
Myanmar,2.4
Namibia,2.6
Nepal,0.9
Netherlands,12.4
New Zealand,13.9
Nicaragua,2.8
Niger,3.1
Nigeria,3.4
Norway,16.9
Oman,3.8
Pakistan,3.6
Panama,7.7
Papua New Guinea,9.3
Paraguay,5.8
Peru,3.7
Philippines,5.6
Poland,16.9
Portugal,12.6
Puerto Rico,16
Qatar,5.7
Republic of Moldova,12.8
Romania,8.5
Russian Federation,16.1
Rwanda,5.3
Samoa,7.4
Saudi Arabia,5.8
Senegal,3
Serbia,17.9
Sierra Leone,3.2
Singapore,13.9
Slovakia,19
Slovenia,15
Solomon Islands,10.2
Somalia,4.3
South Africa,6.9
South Sudan,3.8
Spain,11.6
Sri Lanka,1.5
Sudan,2.4
Suriname,4
Swaziland,5.3
Sweden,13.5
Switzerland,12.6
Syrian Arab Republic,3.3
Tajikistan,12.2
Thailand,3.9
The former Yugoslav Republic of Macedonia,29
Timor-Leste,9.3
Togo,4.1
Trinidad and Tobago,14.6
Tunisia,3.3
Turkey,10.1
Turkmenistan,6.1
Uganda,4
Ukraine,16.6
United Arab Emirates,6
United Kingdom,13.9
United Republic of Tanzania,1.5
United States of America,19.5
"United States of America, Guam",12.2
Uruguay,9.5
Uzbekistan,5.8
Vanuatu,10.2
Venezuela (Bolivarian Republic of),5.4
Viet Nam,5.4
West Bank and Gaza Strip,7.8
Yemen,0.1
Zambia,3.3
Zimbabwe,9.1
