Country,Year,Population requiring PC for STH Pre-SAC,Number of PreSAC targeted,Reported number of PreSAC treated,Drug used PreSAC,Programme coverage PreSAC,National coverage PreSAC,Population requiring PC for STH SAC,Number of SAC targeted,Reported number of SAC treated,Drug used SAC,Programme coverage SAC,National coverage SAC
Angola,2015,3744750,,,,,,6990210,1562296,1256067,ALB,80.40%,17.97%
Benin,2015,611695,3062479,2523543,Alb  round 1,0.82,1,941065,,520662,Ivm+Alb,,52.52%
Benin,2015,611695,3062479,2939980,Alb  round 2,0.96,1,941065,470112,305151,Pzq+Alb,64.91%,52.52%
Benin,2015,,,,,,,941065,361027,282334,Alb,78.20%,52.52%
Botswana,2015,67765,,,,,,164299,,,,,
Burkina Faso,2015,2386489,,,,,,4850503,1986594,1925440,Ivm+Alb,96.92%,55.46%
Burkina Faso,2015,,,,,,,4850503,769146,764728,Pzq+Alb,99.43%,55.46%
Burundi,2015,1281620,1445032,1170316,Alb  round 1,0.81,0.94,2409807,2717065,3056796,Alb,112.50%,100.00%
Burundi,2015,1281620,1426691,1145780,Alb  round 2,0.8,0.94,2409807,2682583,2878329,Alb,107.30%,100.00%
Burundi,2015,,,,,,,2409807,810023,717141,Pzq+Alb,88.53%,100.00%
Cabo Verde,2015,38724,,,,,,98068,,,,,
Cameroon,2015,2940488,,,,,,6076702,3980495,3961812,Ivm+Alb,99.53%,97.48%
Cameroon,2015,,,,,,,6076702,3250500,3756993,Pzq+Mbd,115.58%,97.48%
Cameroon,2015,,,,,,,6076702,2826202,2485487,Mbd,87.94%,97.48%
Central African Republic,2015,548823,683516,506702,Alb,0.74,0.92,1196346,,,,,
Chad,2015,2030906,,,,,,3979040,,,,,
Comoros,2015,61068,,,,,,129695,,,,,
Congo,2015,268192,,,,,,402286,30400,24907,Ivm+Alb,81.93%,47.46%
Congo,2015,,,,,,,402286,239226,171666,Pzq+Alb,71.76%,47.46%
Congo,2015,,,,,,,402286,5096,4111,Alb,80.67%,47.46%
Democratic Republic of the Congo,2015,9145586,13810336,13131905,Mbd  round 1,0.95,1,16857408,,3857362,Ivm+Alb,,24.32%
Democratic Republic of the Congo,2015,9145586,13810336,12960408,Mbd  round 2,0.94,1,16857408,,241966,Pzq+Alb Alb,,24.32%
Equatorial Guinea,2015,46357,,,,,,92892,,,,,
Eritrea,2015,No PC required,17014,22332,Pzq+Mbd,1.31,,No PC required,42533,36666,Pzq+Mbd,86.21%,
