Country,Year,Population requiring PC for STH PreSAC,Number of PreSAC targeted,Reported number of PreSAC treated,Drug used PreSAC,Programme coverage PreSAC,National coverage PreSAC,Population requiring PC for STH SAC,Number of SAC targeted,Reported number of SAC treated,Drug used SAC,Programme coverage SAC,National coverage SAC
Angola,2010,2571813.00,,,,,,5239457.00,,,,,
Benin,2010,1199643.00,,,,,,2423371.00,,663166.00,"Ivm+Alb, Pzq+Mbd",,0.27
Botswana,2010,71294.00,,,,,,169854.00,,,,,
Burkina Faso,2010,2448531.00,,,,,,4373241.00,,85838.00,Alb/Mbd,,0.02
Burundi,2010,946091.00,,819887.00,Alb/Mbd  round 1,,0.87,2018492.00,,1251761.00,Alb/Mbd  round 1,,0.62
Burundi,2010,946091.00,,1090508.00,Alb/Mbd  round 2,,1.00,2018492.00,,2722456.00,Alb/Mbd  round 2,,1.00
Cabo Verde,2010,47010.00,,,,,,123432.00,,92766.00,Alb/Mbd,,0.75
Cameroon,2010,2460544.00,2833410.00,2377434.00,Mbd  round 1,0.84,0.97,5017724.00,,3210639.00,Mbd,,0.64
Cameroon,2010,2460544.00,2833410.00,2679526.00,Mbd  round 2,0.95,1.00,5017724.00,,1095434.00,Ivm+Alb,,0.22
Central African Republic,2010,524495.00,631586.00,460342.00,Alb/Mbd,0.73,0.88,1155261.00,,255630.00,Alb/Mbd,,0.22
Chad,2010,1617859.00,,971545.00,Alb/Mbd,,0.60,3183003.00,,,,,
Comoros,2010,50831.00,89042.00,57522.00,Alb/Mbd,0.65,1.00,104122.00,,,,,
Congo,2010,444706.00,720554.00,594400.00,Alb/Mbd,0.82,1.00,951609.00,,,,,
Democratic Republic of the Congo,2010,9578196.00,1081609.00,613032.00,Alb/Mbd,0.57,0.06,19304515.00,,374653.00,Alb/Mbd,,0.02
Equatorial Guinea,2010,41503.00,,,,,,85331.00,,,,,
Ethiopia,2010,10850740.00,8200000.00,7758115.00,Alb/Mbd  round 1,0.95,0.72,22863064.00,,23595.00,Ivm+Alb,,0.00
Ethiopia,2010,10850740.00,8200000.00,8241917.00,Alb/Mbd  round 2,1.01,0.76,22863064.00,,1139317.00,Alb/Mbd,,0.05
Gabon,2010,146581.00,,,,,,349424.00,,,,,
Gambia,2010,71812.00,,39163.00,Mbd,,0.55,152238.00,,226320.00,Alb/Mbd,,1.00
Ghana,2010,104675.00,,,,,,357203.00,,2100914.00,Ivm+Alb,,1.00
Ghana,2010,,,,,,,357203.00,,1775636.00,Alb/Mbd,,1.00
Guinea,2010,1334244.00,1773044.00,1790774.00,Alb/Mbd  round 1,1.01,1.00,2702971.00,,1954555.00,Mbd,,0.72
Guinea,2010,1334244.00,1773044.00,1755314.00,Alb/Mbd  round 2,0.99,1.00,,,,,,
GuineaBissau,2010,214738.00,212788.00,239359.00,Alb/Mbd  round 1,1.12,1.00,427537.00,,,,,
GuineaBissau,2010,214738.00,201947.00,213785.00,Alb/Mbd  round 2,1.06,1.00,,,,,,
