Population,Value
Afghanistan,0.9
Albania,3.9
Algeria,1.3
Angola,0.8
Argentina,5
Armenia,0.8
Australia,6.3
Austria,5.4
Azerbaijan,0.8
Bahamas,0
Bahrain,2.5
Bangladesh,0.4
Barbados,0.4
Belarus,7.9
Belgium,5.7
Belize,2.8
Benin,0.6
Bhutan,0.8
Bolivia (Plurinational State of),1.9
Bosnia and Herzegovena,3.9
Botswana,0.6
Brazil,2.2
Brunei Darussalam,1.4
Bulgaria,4.3
Burkina Faso,0.4
Burundi,0.7
Cabo Verde,0
Cambodia,0.6
Cameroon,0.4
Canada,6.8
Central African Republic,0.9
Chad,0.8
Chile,4.4
China,2.5
Colombia,1.7
Comoros,0
Congo,0.5
Costa Rica,2.7
Croatia,6.4
Cuba,2.3
Cyprus,2
Czech Republic,10.5
Democratic People%u2019s Republic of Korea,3.1
Democratic Republic of the Congo,0.5
Denmark,4.7
Djibouti,2.1
Dominican Republic,0.1
Ecuador,2.3
Egypt,1.8
El Salvador,1.3
Equatorial Guinea,0.2
Eritrea,2.1
Estonia,7.6
Ethiopia,2.6
Fiji,0.9
Finland,6.4
France (metropolitan),5.9
"France, Guadeloupe",1.1
"France, La Reunion",2.1
"France, Martinique",0.6
"France, New Caledonia",1.9
French Guyana,1.4
French Polynesia,2.1
Gabon,0.5
The Gambia,0
Georgia,1.3
Germany,7.5
Ghana,0.6
Greece,2.6
Guatemala,1.2
Guinea,0.3
Guinea-Bissau,0.2
Guyana,1.2
Haiti,0.7
Honduras,1.2
Hungary,4.8
Iceland,5.7
India,0.6
Indonesia,1
"Iran, Islamic Republic of",2.1
Iraq,2.3
Ireland,6.2
Israel,6.6
Italy,4.9
Jamaica,1.3
Japan,3
Jordan,2
Kazakhstan,1.8
Kenya,1.3
"Korea, Republic of",4.7
Kuwait,1.5
Kyrgyzstan,1.4
Lao People%u2019s Democratic Republic,0.9
Latvia,7
Lebanon,1.8
Lesotho,0.4
Liberia,0.3
Libya,1.7
Lithuania,8.2
Luxembourg,4.8
Madagascar,0.8
Malawi,0.8
Malaysia,1.5
Maldives,0
Mali,1.8
Malta,5.7
Mauritania,0.5
Mauritius,2.8
Mexico,2.5
Mongolia,3.3
Montenegro,4.7
Morocco,1.2
Mozambique,0.1
Myanmar,0.8
Namibia,1
Nepal,0.5
Netherlands,6.2
New Zealand,5.4
Nicaragua,1
Niger,0.6
Nigeria,0.7
Norway,6
Oman,2.1
Pakistan,0.9
Panama,1
Papua New Guinea,0.4
Paraguay,0.9
Peru,2.5
Philippines,1
Poland,5.8
Portugal,2.9
Puerto Rico,3.4
Qatar,1.5
Republic of Moldova,3.1
Romania,3.7
Russian Federation,6.5
Rwanda,0.6
Samoa,0
Saudi Arabia,1.8
Senegal,1.1
Serbia,4.7
Sierra Leone,0.5
Singapore,3.2
Slovakia,8.7
Slovenia,7.4
Solomon Islands,0
Somalia,2
South Africa,0.9
South Sudan,1.5
Spain,4.8
Sri Lanka,0.5
Sudan,1.6
Suriname,1
Swaziland,0.1
Sweden,4.7
Switzerland,3.5
Syrian Arab Republic,2.2
Tajikistan,0.9
Thailand,0.8
The former Yugoslav Republic of Macedonia,3.4
Timor-Leste,1
Togo,0.7
Trinidad and Tobago,1.8
Tunisia,1.9
Turkey,4.4
Turkmenistan,1.2
Uganda,1.4
Ukraine,5.2
United Arab Emirates,1.8
United Kingdom,5.8
United Republic of Tanzania,0.1
United States of America,8.5
"United States of America, Guam",0.7
Uruguay,5.8
Uzbekistan,0.9
Vanuatu,0
Venezuela (Bolivarian Republic of),2
Viet Nam,0.7
West Bank and Gaza Strip,1.6
Yemen,0.4
Zambia,0.8
Zimbabwe,1.1
