Population,Value
Afghanistan,1.8
Albania,4.9
Algeria,3.3
Angola,1.7
Argentina,4
Armenia,4.8
Australia,7.2
Austria,6
Azerbaijan,2.4
Bahamas,2.7
Bahrain,4.6
Bangladesh,1.3
Barbados,3.3
Belarus,6.8
Belgium,6.4
Belize,2.6
Benin,1
Bhutan,1.9
Bolivia (Plurinational State of),2.5
Bosnia and Herzegovena,2.9
Botswana,2.3
Brazil,3.7
Brunei Darussalam,1.2
Bulgaria,4.9
Burkina Faso,1
Burundi,2.6
Cabo Verde,0
Cambodia,4.6
Cameroon,1.3
Canada,7.6
Central African Republic,1.9
Chad,1.6
Chile,4
China,3.7
Colombia,5.4
Comoros,0.6
Congo,2.1
Costa Rica,4.6
Croatia,5.1
Cuba,4.2
Cyprus,7.7
Czech Republic,4.9
Democratic People%u2019s Republic of Korea,2.9
Democratic Republic of the Congo,1.6
Denmark,5.2
Djibouti,3.9
Dominican Republic,3.6
Ecuador,6.8
Egypt,5.4
El Salvador,5.5
Equatorial Guinea,0.6
Eritrea,4.1
Estonia,6.4
Ethiopia,5.3
Fiji,4.4
Finland,6.2
France (metropolitan),6.2
"France, Guadeloupe",2.8
"France, La Reunion",3.9
"France, Martinique",3.6
"France, New Caledonia",6.3
French Guyana,3.6
French Polynesia,3.2
Gabon,1.1
The Gambia,0
Georgia,2.9
Germany,5.9
Ghana,0.9
Greece,6.2
Guatemala,4.5
Guinea,1.3
Guinea-Bissau,0.6
Guyana,2.4
Haiti,2.3
Honduras,4.3
Hungary,5.4
Iceland,4.1
India,2.2
Indonesia,3.7
"Iran, Islamic Republic of",4.7
Iraq,6.2
Ireland,6.5
Israel,7
Italy,6.1
Jamaica,5.8
Japan,3.3
Jordan,4.3
Kazakhstan,4.8
Kenya,3.6
"Korea, Republic of",5
Kuwait,6.2
Kyrgyzstan,2.5
Lao People%u2019s Democratic Republic,3.6
Latvia,6
Lebanon,5.6
Lesotho,0.2
Liberia,0.9
Libya,5.1
Lithuania,7.6
Luxembourg,5.2
Madagascar,2.9
Malawi,0.5
Malaysia,4
Maldives,0
Mali,0.9
Malta,6
Mauritania,0.9
Mauritius,11.5
Mexico,5.1
Mongolia,1.7
Montenegro,4.9
Morocco,2.2
Mozambique,3.6
Myanmar,3.6
Namibia,1.2
Nepal,2.3
Netherlands,6.1
New Zealand,7.3
Nicaragua,3.3
Niger,0.8
Nigeria,1.4
Norway,6.2
Oman,4.7
Pakistan,2.2
Panama,5.6
Papua New Guinea,3
Paraguay,4.7
Peru,4.2
Philippines,4.5
Poland,4.2
Portugal,5.8
Puerto Rico,5.3
Qatar,3.8
Republic of Moldova,3.5
Romania,4.8
Russian Federation,5.4
Rwanda,2.6
Samoa,1.1
Saudi Arabia,3.5
Senegal,1.1
Serbia,5.7
Sierra Leone,0.9
Singapore,5.3
Slovakia,6.3
Slovenia,6.1
Solomon Islands,2.7
Somalia,4.4
South Africa,2.8
South Sudan,3.6
Spain,5
Sri Lanka,4.2
Sudan,2.7
Suriname,6
Swaziland,0.4
Sweden,6.3
Switzerland,6.3
Syrian Arab Republic,5.2
Tajikistan,1.4
Thailand,4.7
The former Yugoslav Republic of Macedonia,3.5
Timor-Leste,5.7
Togo,1
Trinidad and Tobago,3.2
Tunisia,3.7
Turkey,4.7
Turkmenistan,2.7
Uganda,4.1
Ukraine,4.6
United Arab Emirates,4.5
United Kingdom,5.8
United Republic of Tanzania,1.3
United States of America,7.1
"United States of America, Guam",1.9
Uruguay,5.1
Uzbekistan,3
Vanuatu,3.3
Venezuela (Bolivarian Republic of),3.6
Viet Nam,3.9
West Bank and Gaza Strip,7.2
Yemen,4.3
Zambia,1.7
Zimbabwe,1
