Population,Value
Afghanistan,2.8
Albania,4.3
Algeria,5.2
Angola,2
Argentina,4.4
Armenia,6.4
Australia,4.4
Austria,4.6
Azerbaijan,3.3
Bahamas,2.3
Bahrain,2.6
Bangladesh,1.6
Barbados,4.5
Belarus,6.2
Belgium,5
Belize,3.3
Benin,1.2
Bhutan,2.2
Bolivia (Plurinational State of),3.7
Bosnia and Herzegovena,2.1
Botswana,2
Brazil,4.1
Brunei Darussalam,1.9
Bulgaria,3.8
Burkina Faso,1.2
Burundi,2.4
Cabo Verde,0
Cambodia,5.6
Cameroon,2.3
Canada,4.5
Central African Republic,3.9
Chad,2.9
Chile,3.7
China,4.2
Colombia,4.8
Comoros,0.6
Congo,2.6
Costa Rica,4.1
Croatia,4.6
Cuba,4.3
Cyprus,4.2
Czech Republic,4.3
Democratic People%u2019s Republic of Korea,3.7
Democratic Republic of the Congo,2.9
Denmark,4.2
Djibouti,6
Dominican Republic,4
Ecuador,5.1
Egypt,5.5
El Salvador,5.2
Equatorial Guinea,1.3
Eritrea,6
Estonia,6.5
Ethiopia,5.7
Fiji,5.3
Finland,3.7
France (metropolitan),4.8
"France, Guadeloupe",3.7
"France, La Reunion",3.5
"France, Martinique",5.4
"France, New Caledonia",3.5
French Guyana,7.6
French Polynesia,4.8
Gabon,1.1
The Gambia,0.1
Georgia,2.8
Germany,4
Ghana,1.1
Greece,5.7
Guatemala,4.6
Guinea,1.4
Guinea-Bissau,0.5
Guyana,2.6
Haiti,1.9
Honduras,4.8
Hungary,5.3
Iceland,3.5
India,2.7
Indonesia,4.4
"Iran, Islamic Republic of",5.4
Iraq,7.6
Ireland,4.5
Israel,6.2
Italy,5
Jamaica,4.7
Japan,3.5
Jordan,6.5
Kazakhstan,5.3
Kenya,4.2
"Korea, Republic of",3.3
Kuwait,3
Kyrgyzstan,3.7
Lao People%u2019s Democratic Republic,4.1
Latvia,4.7
Lebanon,6.3
Lesotho,0.5
Liberia,1.1
Libya,3.9
Lithuania,5.7
Luxembourg,4.3
Madagascar,3.9
Malawi,0.5
Malaysia,4.4
Maldives,2.8
Mali,1
Malta,3.9
Mauritania,1.3
Mauritius,6.8
Mexico,4.1
Mongolia,0.8
Montenegro,4.2
Morocco,3.4
Mozambique,3.8
Myanmar,4.4
Namibia,1.5
Nepal,4
Netherlands,4.2
New Zealand,4.2
Nicaragua,4.6
Niger,1.6
Nigeria,1.5
Norway,3.6
Oman,4.3
Pakistan,3.1
Panama,3.8
Papua New Guinea,4.5
Paraguay,5.6
Peru,4.1
Philippines,4.1
Poland,5
Portugal,3.8
Puerto Rico,3
Qatar,3.7
Republic of Moldova,3.1
Romania,4.4
Russian Federation,4.3
Rwanda,2.2
Samoa,2.3
Saudi Arabia,3.1
Senegal,1.2
Serbia,5.8
Sierra Leone,1
Singapore,3.5
Slovakia,5
Slovenia,5.1
Solomon Islands,6.8
Somalia,4.8
South Africa,3.7
South Sudan,4.4
Spain,3.9
Sri Lanka,4.2
Sudan,6.2
Suriname,2.4
Swaziland,0.8
Sweden,3.8
Switzerland,4.2
Syrian Arab Republic,6.9
Tajikistan,2
Thailand,4.2
The former Yugoslav Republic of Macedonia,4.7
Timor-Leste,2.8
Togo,1.2
Trinidad and Tobago,3.7
Tunisia,3.2
Turkey,5.8
Turkmenistan,2.8
Uganda,3.6
Ukraine,4.8
United Arab Emirates,2.2
United Kingdom,4.1
United Republic of Tanzania,1.1
United States of America,5.4
"United States of America, Guam",6.5
Uruguay,5.6
Uzbekistan,3.5
Vanuatu,6
Venezuela (Bolivarian Republic of),3.4
Viet Nam,4.2
West Bank and Gaza Strip,8.7
Yemen,6.9
Zambia,1.7
Zimbabwe,2.1
