Population,Value
Afghanistan,3.8
Albania,19.4
Algeria,6.4
Angola,2.5
Argentina,9.4
Armenia,11
Australia,45.8
Austria,30.6
Azerbaijan,5.4
Bahamas,6
Bahrain,3.1
Bangladesh,1.7
Barbados,26.6
Belarus,30.4
Belgium,46.2
Belize,6.6
Benin,1.6
Bhutan,6.9
Bolivia (Plurinational State of),4.6
Bosnia and Herzegovena,12.3
Botswana,2.1
Brazil,6.3
Brunei Darussalam,3.3
Bulgaria,23
Burkina Faso,1.6
Burundi,2.6
Cabo Verde,0
Cambodia,6
Cameroon,4.2
Canada,47
Central African Republic,5.1
Chad,3.8
Chile,7.7
China,7.5
Colombia,7.9
Comoros,0
Congo,3.5
Costa Rica,7.1
Croatia,30.7
Cuba,8.8
Cyprus,41.4
Czech Republic,28.7
Democratic People%u2019s Republic of Korea,5.8
Democratic Republic of the Congo,4.1
Denmark,33.3
Djibouti,7.7
Dominican Republic,7.4
Ecuador,7.9
Egypt,8
El Salvador,7.5
Equatorial Guinea,3.8
Eritrea,6.9
Estonia,34
Ethiopia,7.5
Fiji,6.3
Finland,34.9
France (metropolitan),56.9
"France, Guadeloupe",9.6
"France, La Reunion",9.6
"France, Martinique",12.5
"France, New Caledonia",15.5
French Guyana,23.4
French Polynesia,5.6
Gabon,2
The Gambia,0.2
Georgia,5.9
Germany,40.3
Ghana,1.6
Greece,54.6
Guatemala,6.8
Guinea,2
Guinea-Bissau,0.9
Guyana,2.7
Haiti,2.5
Honduras,6.8
Hungary,29.8
Iceland,26
India,3.1
Indonesia,5
"Iran, Islamic Republic of",7.7
Iraq,7.7
Ireland,50.2
Israel,22.9
Italy,42
Jamaica,9.6
Japan,16
Jordan,7.8
Kazakhstan,8
Kenya,4.8
"Korea, Republic of",12
Kuwait,8.7
Kyrgyzstan,4.5
Lao People%u2019s Democratic Republic,3.6
Latvia,27.8
Lebanon,10.5
Lesotho,1.3
Liberia,1.2
Libya,6
Lithuania,32.8
Luxembourg,39.4
Madagascar,4.2
Malawi,0.4
Malaysia,5.6
Maldives,3.3
Mali,1.6
Malta,37.8
Mauritania,1.6
Mauritius,11.2
Mexico,7.7
Mongolia,1.8
Montenegro,24.6
Morocco,4.3
Mozambique,3.8
Myanmar,4.7
Namibia,2.3
Nepal,4.2
Netherlands,33.9
New Zealand,38.9
Nicaragua,6
Niger,2.4
Nigeria,2
Norway,38.9
Oman,4.7
Pakistan,4.1
Panama,7.5
Papua New Guinea,5.6
Paraguay,8.3
Peru,6.4
Philippines,5.3
Poland,21.5
Portugal,31.5
Puerto Rico,10.3
Qatar,7.1
Republic of Moldova,15
Romania,22.4
Russian Federation,21.6
Rwanda,1.9
Samoa,5
Saudi Arabia,3.9
Senegal,1.6
Serbia,32.8
Sierra Leone,0.9
Singapore,8
Slovakia,34.2
Slovenia,31.8
Solomon Islands,9
Somalia,6.7
South Africa,4
South Sudan,6
Spain,33.6
Sri Lanka,7.6
Sudan,7.1
Suriname,2.6
Swaziland,2.4
Sweden,40.7
Switzerland,45.9
Syrian Arab Republic,8.2
Tajikistan,2.9
Thailand,7.4
The former Yugoslav Republic of Macedonia,23.1
Timor-Leste,2.4
Togo,1.6
Trinidad and Tobago,6.8
Tunisia,4.9
Turkey,8.3
Turkmenistan,3.3
Uganda,2.8
Ukraine,21.7
United Arab Emirates,3.4
United Kingdom,39.9
United Republic of Tanzania,1.4
United States of America,38.6
"United States of America, Guam",10.2
Uruguay,11.9
Uzbekistan,5.1
Vanuatu,7.6
Venezuela (Bolivarian Republic of),5.6
Viet Nam,5.5
West Bank and Gaza Strip,10.1
Yemen,7.9
Zambia,1.9
Zimbabwe,1.6
