Population,Value
Afghanistan,5.2
Albania,4
Algeria,1.5
Angola,5.2
Argentina,3.3
Armenia,10
Australia,4.2
Austria,5.2
Azerbaijan,5
Bahamas,1.9
Bahrain,3.5
Bangladesh,2.7
Barbados,2.1
Belarus,2.1
Belgium,3.1
Belize,6.3
Benin,13.5
Bhutan,4.4
Bolivia (Plurinational State of),3.7
Bosnia and Herzegovena,4.6
Botswana,5.4
Brazil,4.6
Brunei Darussalam,7
Bulgaria,4.2
Burkina Faso,14.4
Burundi,4.9
Cabo Verde,13
Cambodia,22
Cameroon,4.8
Canada,3.6
Central African Republic,5.8
Chad,6.6
Chile,4.7
China,22.3
Colombia,2.9
Comoros,3.1
Congo,10.6
Costa Rica,4.1
Croatia,4.7
Cuba,3.8
Cyprus,2.7
Czech Republic,4.3
Democratic People%u2019s Republic of Korea,16.2
Democratic Republic of the Congo,8.5
Denmark,2.9
Djibouti,3.2
Dominican Republic,8.9
Ecuador,5
Egypt,25.6
El Salvador,7.7
Equatorial Guinea,3.2
Eritrea,3.1
Estonia,2.3
Ethiopia,2
Fiji,8.9
Finland,4.9
France (metropolitan),6.6
"France, Guadeloupe",3.5
"France, La Reunion",4.2
"France, Martinique",2.5
"France, New Caledonia",8.8
French Guyana,4.9
French Polynesia,4.5
Gabon,2.3
The Gambia,25.8
Georgia,6
Germany,4.6
Ghana,11.1
Greece,3.4
Guatemala,16
Guinea,19.5
Guinea-Bissau,13.4
Guyana,5.5
Haiti,6.4
Honduras,11.2
Hungary,3.3
Iceland,1.7
India,2.7
Indonesia,8.4
"Iran, Islamic Republic of",2.5
Iraq,4
Ireland,3.3
Israel,2.3
Italy,7.1
Jamaica,4.6
Japan,9.3
Jordan,4.2
Kazakhstan,7.9
Kenya,5.4
"Korea, Republic of",22.8
Kuwait,4
Kyrgyzstan,8.4
Lao People%u2019s Democratic Republic,52.6
Latvia,3.3
Lebanon,2.6
Lesotho,5.7
Liberia,17.9
Libya,4.8
Lithuania,2.7
Luxembourg,6.7
Madagascar,3.6
Malawi,1.8
Malaysia,6
Maldives,2.7
Mali,4.7
Malta,2.3
Mauritania,13.4
Mauritius,2.4
Mexico,5.7
Mongolia,78.1
Montenegro,5.2
Morocco,1.2
Mozambique,4.5
Myanmar,11
Namibia,1.7
Nepal,0.9
Netherlands,1.6
New Zealand,4
Nicaragua,10.3
Niger,6
Nigeria,11.5
Norway,2.1
Oman,3.9
Pakistan,3.6
Panama,4.9
Papua New Guinea,11.2
Paraguay,3
Peru,6.4
Philippines,11.4
Poland,2.8
Portugal,5
Puerto Rico,4.5
Qatar,7.9
Republic of Moldova,8.5
Romania,5.8
Russian Federation,2.9
Rwanda,13.3
Samoa,3
Saudi Arabia,4.7
Senegal,12.2
Serbia,4.5
Sierra Leone,18.2
Singapore,9.7
Slovakia,4.3
Slovenia,4.9
Solomon Islands,11.4
Somalia,3.7
South Africa,4.8
South Sudan,6.1
Spain,5.9
Sri Lanka,3.2
Sudan,4.5
Suriname,6.8
Swaziland,10.1
Sweden,2.5
Switzerland,5.2
Syrian Arab Republic,4.1
Tajikistan,6.6
Thailand,22.3
The former Yugoslav Republic of Macedonia,4.1
Timor-Leste,7.6
Togo,12.5
Trinidad and Tobago,2.4
Tunisia,1.1
Turkey,3.2
Turkmenistan,6.8
Uganda,7.9
Ukraine,2.1
United Arab Emirates,3.4
United Kingdom,3.2
United Republic of Tanzania,2.1
United States of America,6.1
"United States of America, Guam",6.9
Uruguay,1.7
Uzbekistan,5.2
Vanuatu,15.1
Venezuela (Bolivarian Republic of),3.6
Viet Nam,24.6
West Bank and Gaza Strip,3.6
Yemen,2.9
Zambia,3.2
Zimbabwe,6.9
