"","country","Value","National.coverage.PreSAC","poverty"
"1","afghanistan",115.2,1,23.4918967772395
"2","angola",100.8,0.9275,25.13571149989
"3","armenia",257,0.105,22.9490006559734
"4","azerbaijan",141.9,0.03,24.691720278021
"5","bangladesh",104.4,0.630869565217391,25.4681979653097
"6","belize",160.7,0.918,21.0585675430497
"7","benin",94.3,0.996666666666667,22.6649156228146
"8","bhutan",79.2,0.74,21.1841483285507
"9","botswana",107.6,1,23.2716678366142
"10","burkina faso",88.2,1,22.9192255798278
"11","burundi",135.8,0.791428571428571,21.4297558393293
"12","cambodia",140.4,0.784666666666667,23.1429470807677
"13","cameroon",97.6,0.918888888888889,23.8854648066232
"14","central african republic",92.9,0.787777777777778,21.4093958778687
"15","chad",88.1,0.86,23.0895489919912
"16","china",174,0.01,29.4393098871078
"17","colombia",160.6,0.0216666666666667,26.382748052706
"18","comoros",101.5,0.722857142857143,20.0893179866279
"19","djibouti",92.7,0.826,20.8442541302717
"20","dominican republic",153.4,0.251428571428571,24.7114084000072
"21","ecuador",164.5,0.2,24.965388919844
"22","el salvador",153.4,0.246,23.7875115337371
"23","equatorial guinea",86.4,1,23.5143414946236
"24","ethiopia",108,0.537333333333333,24.1222537907528
"25","fiji",139.1,0.295,21.8676506734195
"26","gabon",90.2,1,23.3876138093556
"27","ghana",91.7,0.794,24.1944485338691
"28","guatemala",130.4,0.21875,24.4450562454015
"29","guinea",90,0.877142857142857,22.2784495480417
"30","guinea-bissau",83.1,0.905,20.5564227712444
"31","guyana",165.9,0.445714285714286,21.5383157316224
"32","haiti",106.9,0.466470588235294,22.6137448431163
"33","honduras",131.2,0.331666666666667,23.4788129791273
"34","india",94,0.23875,28.137838718297
"35","indonesia",133.5,0.0642857142857143,27.3499835861954
"36","jamaica",198.5,0.02,23.3028938070587
"37","kenya",181.8,0.135,24.4121367718741
"38","lesotho",103,0.855,21.5954572401194
"39","liberia",89.2,0.89,20.9799966478851
"40","madagascar",137.5,0.698666666666667,22.8900238913072
"41","malawi",156,0.855,22.6630795661115
"42","malaysia",143.6,0.03,26.2645293821048
"43","maldives",88.9,0.0025,21.5662982236931
"44","mali",111.4,0.75,23.0915215725179
"45","mauritania",85.7,1,22.1906311917187
"46","mexico",131.5,0.7925,27.679811280098
"47","mozambique",136.8,0.939,23.041157016856
"48","myanmar",140.5,0.553636363636364,24.6260626787574
"49","namibia",82.7,0.538,23.1464914440029
"50","nepal",85.2,0.664814814814815,23.4960205725302
"51","nicaragua",114.4,0.841818181818182,22.8913262601795
"52","niger",63.4,0.732222222222222,22.4669880733061
"53","nigeria",100.1,0.355,26.6340624809869
"54","pakistan",111.8,0.872,25.8994155695202
"55","panama",148.4,0,24.0877024107392
"56","papua new guinea",165.2,0.0942857142857143,22.9970504911956
"57","peru",154.5,0.0366666666666667,25.7136984237251
"58","philippines",140,0.399047619047619,26.0215832034944
"59","rwanda",135.8,0.914166666666667,22.4634774158714
"60","samoa",92.7,0.565,20.3028735958686
"61","senegal",101.2,0.844444444444444,23.2815879452392
"62","sierra leone",92.3,0.979090909090909,21.6851457719475
"63","solomon islands",116.3,0.465,20.3251516592249
"64","south africa",187.1,0.06,26.6501918629168
"65","sri lanka",94.8,0.3225,24.7614940017526
"66","sudan",91.1,0.665,24.9073613556463
"67","swaziland",115.3,0.72,22.233192140581
"68","tajikistan",119.1,1,22.4535361009218
"69","thailand",137.5,0.00166666666666667,26.5551483142299
"70","timor-leste",165.4,0.4125,20.6645768405977
"71","togo",91.1,0.979,21.8779262189249
"72","uganda",169.7,0.543333333333333,23.7282798411081
"73","uruguay",251,0.1,24.4192371463026
"74","vanuatu",107.8,0.715,20.3677392137207
"75","zambia",136.2,0.892,23.7321885466376
"76","zimbabwe",190.3,0.535,22.9663303365853
