Population,Value
Afghanistan,6.9
Albania,26.2
Algeria,9.9
Angola,2
Argentina,20.9
Armenia,35.9
Australia,27
Austria,27.5
Azerbaijan,11.5
Bahamas,9.7
Bahrain,15.5
Bangladesh,10
Barbados,4.9
Belarus,26.2
Belgium,36.8
Belize,11.8
Benin,1.5
Bhutan,6.9
Bolivia (Plurinational State of),5.1
Bosnia and Herzegovena,26.5
Botswana,4.8
Brazil,16.3
Brunei Darussalam,22.7
Bulgaria,28.1
Burkina Faso,2.4
Burundi,1.7
Cabo Verde,0.8
Cambodia,12.4
Cameroon,1.5
Canada,37.9
Central African Republic,1.5
Chad,1.2
Chile,13.3
China,36.1
Colombia,11
Comoros,1.2
Congo,1
Costa Rica,7.3
Croatia,34.3
Cuba,32.9
Cyprus,16.2
Czech Republic,32.5
Democratic People%u2019s Republic of Korea,44.2
Democratic Republic of the Congo,1.1
Denmark,39.2
Djibouti,2.7
Dominican Republic,12
Ecuador,7.2
Egypt,7.2
El Salvador,5.9
Equatorial Guinea,3.9
Eritrea,2.5
Estonia,24.4
Ethiopia,3.2
Fiji,6
Finland,20.1
France (metropolitan),35
"France, Guadeloupe",10
"France, La Reunion",17.6
"France, Martinique",9.2
"France, New Caledonia",40.1
French Guyana,7.3
French Polynesia,37.1
Gabon,6.2
The Gambia,2.4
Georgia,15.9
Germany,27.5
Ghana,2.4
Greece,28.5
Guatemala,6.5
Guinea,1.4
Guinea-Bissau,1.6
Guyana,4.1
Haiti,7.1
Honduras,6.4
Hungary,51.6
Iceland,29.8
India,6.9
Indonesia,16.3
"Iran, Islamic Republic of",7.7
Iraq,14
Ireland,31.3
Israel,21.2
Italy,24.5
Jamaica,18.2
Japan,24.6
Jordan,15.7
Kazakhstan,27.9
Kenya,2.6
"Korea, Republic of",28.7
Kuwait,8
Kyrgyzstan,15.6
Lao People%u2019s Democratic Republic,13.2
Latvia,27.8
Lebanon,19.8
Lesotho,2.8
Liberia,1.5
Libya,15.6
Lithuania,26.2
Luxembourg,28.4
Madagascar,7.2
Malawi,0.9
Malaysia,17.9
Maldives,7.7
Mali,2.7
Malta,20.4
Mauritania,1.4
Mauritius,9.9
Mexico,7.5
Mongolia,15.6
Montenegro,39.6
Morocco,13.6
Mozambique,2.8
Myanmar,20.2
Namibia,3.3
Nepal,12.3
Netherlands,37.2
New Zealand,25.9
Nicaragua,7
Niger,0.2
Nigeria,1.1
Norway,30
Oman,5.1
Pakistan,5.8
Panama,9
Papua New Guinea,8
Paraguay,14
Peru,10.1
Philippines,19.3
Poland,38
Portugal,20.2
Puerto Rico,9.2
Qatar,10.7
Republic of Moldova,23.5
Romania,32.6
Russian Federation,24
Rwanda,1.2
Samoa,4.7
Saudi Arabia,5.1
Senegal,2.1
Serbia,45.6
Sierra Leone,1.5
Singapore,24.9
Slovakia,28.3
Slovenia,33.9
Solomon Islands,7.6
Somalia,2.9
South Africa,18.5
South Sudan,2.3
Spain,30.3
Sri Lanka,6.2
Sudan,2
Suriname,12.8
Swaziland,3
Sweden,19.1
Switzerland,27.3
Syrian Arab Republic,15.1
Tajikistan,7.7
Thailand,20.9
The former Yugoslav Republic of Macedonia,40.8
Timor-Leste,31
Togo,1.4
Trinidad and Tobago,12.2
Tunisia,16
Turkey,34.7
Turkmenistan,12.7
Uganda,2.7
Ukraine,22.2
United Arab Emirates,9.4
United Kingdom,30
United Republic of Tanzania,0.7
United States of America,38.4
"United States of America, Guam",34.7
Uruguay,27.4
Uzbekistan,8
Vanuatu,9.6
Venezuela (Bolivarian Republic of),16
Viet Nam,25.2
West Bank and Gaza Strip,13
Yemen,3.8
Zambia,1.8
Zimbabwe,4.9
