Population,Value
Afghanistan,0.9
Albania,0.6
Algeria,1.9
Angola,0.4
Argentina,1
Armenia,1.2
Australia,2.3
Austria,1.5
Azerbaijan,0.8
Bahamas,1
Bahrain,0.6
Bangladesh,0.3
Barbados,0
Belarus,2.7
Belgium,2.2
Belize,0
Benin,0.8
Bhutan,0
Bolivia (Plurinational State of),0.4
Bosnia and Herzegovena,1.6
Botswana,0.7
Brazil,0.9
Brunei Darussalam,0
Bulgaria,1.9
Burkina Faso,0.2
Burundi,0.7
Cabo Verde,0
Cambodia,0.2
Cameroon,0.5
Canada,2
Central African Republic,0.4
Chad,0.4
Chile,0.4
China,0.1
Colombia,0.6
Comoros,0
Congo,0.3
Costa Rica,1.5
Croatia,2.9
Cuba,1.7
Cyprus,1.7
Czech Republic,1.7
Democratic People%u2019s Republic of Korea,0.3
Democratic Republic of the Congo,0.1
Denmark,2.1
Djibouti,0
Dominican Republic,0.5
Ecuador,1.2
Egypt,1.1
El Salvador,0.3
Equatorial Guinea,0
Eritrea,0.8
Estonia,1.6
Ethiopia,0.9
Fiji,0.4
Finland,2.4
France (metropolitan),2.7
"France, Guadeloupe",0.9
"France, La Reunion",0
"France, Martinique",0.6
"France, New Caledonia",0
French Guyana,0
French Polynesia,0
Gabon,0
The Gambia,0.5
Georgia,0.8
Germany,2.1
Ghana,0.3
Greece,1.9
Guatemala,0.4
Guinea,0.2
Guinea-Bissau,0
Guyana,0.5
Haiti,0.1
Honduras,0.2
Hungary,1.3
Iceland,1.9
India,0.5
Indonesia,0.3
"Iran, Islamic Republic of",1.1
Iraq,1.5
Ireland,2.2
Israel,3.6
Italy,2
Jamaica,1
Japan,0.4
Jordan,2.3
Kazakhstan,1.1
Kenya,0.8
"Korea, Republic of",0.3
Kuwait,1.3
Kyrgyzstan,0.3
Lao People%u2019s Democratic Republic,0.4
Latvia,1.7
Lebanon,3.2
Lesotho,0.1
Liberia,0.1
Libya,2
Lithuania,1.9
Luxembourg,2.8
Madagascar,0.2
Malawi,0.5
Malaysia,0.4
Maldives,0
Mali,0.5
Malta,2.5
Mauritania,0.2
Mauritius,0.1
Mexico,1.1
Mongolia,0.1
Montenegro,1.5
Morocco,1.6
Mozambique,0.5
Myanmar,0.2
Namibia,0.2
Nepal,0.4
Netherlands,2.1
New Zealand,1.8
Nicaragua,0.2
Niger,0.1
Nigeria,0.5
Norway,1.8
Oman,1.5
Pakistan,0.8
Panama,0.4
Papua New Guinea,0.2
Paraguay,0.7
Peru,0.5
Philippines,0.2
Poland,1.5
Portugal,2.8
Puerto Rico,2
Qatar,1.2
Republic of Moldova,1
Romania,1.6
Russian Federation,1.8
Rwanda,0.6
Samoa,0
Saudi Arabia,1.4
Senegal,0.3
Serbia,2.3
Sierra Leone,0.1
Singapore,0.7
Slovakia,2.2
Slovenia,1.3
Solomon Islands,0.3
Somalia,0.9
South Africa,0.6
South Sudan,0.8
Spain,2.2
Sri Lanka,0.8
Sudan,0.6
Suriname,0
Swaziland,0
Sweden,1.4
Switzerland,2.3
Syrian Arab Republic,1.9
Tajikistan,1.1
Thailand,0.3
The former Yugoslav Republic of Macedonia,1
Timor-Leste,0.3
Togo,0.6
Trinidad and Tobago,1.5
Tunisia,1.6
Turkey,1.4
Turkmenistan,1.2
Uganda,1.1
Ukraine,2.4
United Arab Emirates,1
United Kingdom,1.9
United Republic of Tanzania,0.2
United States of America,2.2
"United States of America, Guam",0
Uruguay,1.6
Uzbekistan,0.5
Vanuatu,0
Venezuela (Bolivarian Republic of),0.8
Viet Nam,0.2
West Bank and Gaza Strip,3.3
Yemen,1.5
Zambia,0.5
Zimbabwe,0.4
