Population,Value
Afghanistan,3.8
Albania,3.2
Algeria,5
Angola,3.5
Argentina,8.7
Armenia,8.5
Australia,7.6
Austria,7.3
Azerbaijan,2.5
Bahamas,8.9
Bahrain,4.4
Bangladesh,4.4
Barbados,7
Belarus,10.9
Belgium,8.1
Belize,3.2
Benin,3.2
Bhutan,5.2
Bolivia (Plurinational State of),6.9
Bosnia and Herzegovena,8.1
Botswana,3.1
Brazil,5.2
Brunei Darussalam,8.8
Bulgaria,14
Burkina Faso,3.1
Burundi,4.5
Cabo Verde,4
Cambodia,4.5
Cameroon,4.9
Canada,8.6
Central African Republic,4.9
Chad,5.4
Chile,6.6
China,4.1
Colombia,5.9
Comoros,0.8
Congo,3.7
Costa Rica,5.4
Croatia,10.3
Cuba,6.9
Cyprus,7
Czech Republic,11.1
Democratic People%u2019s Republic of Korea,6.8
Democratic Republic of the Congo,3.3
Denmark,10.3
Djibouti,7.4
Dominican Republic,1.6
Ecuador,5.2
Egypt,6.4
El Salvador,4
Equatorial Guinea,4
Eritrea,7.6
Estonia,11.8
Ethiopia,8.6
Fiji,14.9
Finland,8.4
France (metropolitan),7.9
"France, Guadeloupe",4.6
"France, La Reunion",3.9
"France, Martinique",5.2
"France, New Caledonia",7.6
French Guyana,7.3
French Polynesia,9
Gabon,4.8
The Gambia,1.2
Georgia,3.7
Germany,7.4
Ghana,4.1
Greece,8.4
Guatemala,2.3
Guinea,3
Guinea-Bissau,3.8
Guyana,7.9
Haiti,3
Honduras,2.5
Hungary,10.6
Iceland,6
India,4.9
Indonesia,8.4
"Iran, Islamic Republic of",4.8
Iraq,4.3
Ireland,11.2
Israel,7.3
Italy,10.2
Jamaica,6
Japan,8.4
Jordan,5.4
Kazakhstan,9.7
Kenya,6.4
"Korea, Republic of",6.8
Kuwait,4.7
Kyrgyzstan,6.3
Lao People%u2019s Democratic Republic,5.2
Latvia,14.2
Lebanon,7.5
Lesotho,1.7
Liberia,3.4
Libya,5
Lithuania,12.2
Luxembourg,7.3
Madagascar,2.2
Malawi,2.5
Malaysia,7.8
Maldives,7.1
Mali,5.2
Malta,11.8
Mauritania,3.9
Mauritius,8.3
Mexico,5.6
Mongolia,3.7
Montenegro,12
Morocco,4.7
Mozambique,0.9
Myanmar,5.5
Namibia,2.8
Nepal,5.8
Netherlands,6.8
New Zealand,8
Nicaragua,2.1
Niger,7.3
Nigeria,3.1
Norway,9.5
Oman,3.3
Pakistan,5.6
Panama,6.4
Papua New Guinea,7
Paraguay,5.1
Peru,4.9
Philippines,5.9
Poland,13.6
Portugal,6.2
Puerto Rico,4.6
Qatar,4.6
Republic of Moldova,7.5
Romania,10.3
Russian Federation,11.3
Rwanda,4.2
Samoa,3.9
Saudi Arabia,3.4
Senegal,4.2
Serbia,12.8
Sierra Leone,3.3
Singapore,9.9
Slovakia,11.6
Slovenia,10.4
Solomon Islands,10.1
Somalia,7.5
South Africa,5.5
South Sudan,6.4
Spain,7.7
Sri Lanka,5.8
Sudan,6.4
Suriname,8.6
Swaziland,2.5
Sweden,7.5
Switzerland,7.9
Syrian Arab Republic,4.8
Tajikistan,2
Thailand,5.9
The former Yugoslav Republic of Macedonia,11.3
Timor-Leste,5.1
Togo,5
Trinidad and Tobago,10.6
Tunisia,4.2
Turkey,6.3
Turkmenistan,2.6
Uganda,6.9
Ukraine,10.7
United Arab Emirates,6.4
United Kingdom,11.7
United Republic of Tanzania,2
United States of America,8
"United States of America, Guam",2.8
Uruguay,8.4
Uzbekistan,2.1
Vanuatu,4.2
Venezuela (Bolivarian Republic of),5.1
Viet Nam,2.6
West Bank and Gaza Strip,5.7
Yemen,3.8
Zambia,4
Zimbabwe,6.6
