Population,Value
Afghanistan,9.9
Albania,14.4
Algeria,15.7
Angola,7.7
Argentina,36.6
Armenia,32.5
Australia,38.6
Austria,44.5
Azerbaijan,9.4
Bahamas,33.1
Bahrain,9.6
Bangladesh,14.4
Barbados,32.8
Belarus,47.4
Belgium,47.4
Belize,10.1
Benin,8.8
Bhutan,15.3
Bolivia (Plurinational State of),23.9
Bosnia and Herzegovena,39.7
Botswana,8
Brazil,20.2
Brunei Darussalam,27.3
Bulgaria,65
Burkina Faso,8.8
Burundi,9.7
Cabo Verde,12.9
Cambodia,14.4
Cameroon,12.4
Canada,45.1
Central African Republic,12
Chad,13.2
Chile,28.6
China,16.3
Colombia,22.6
Comoros,1.4
Congo,7.4
Costa Rica,20.3
Croatia,55.3
Cuba,32.3
Cyprus,34.7
Czech Republic,52.3
Democratic People%u2019s Republic of Korea,26.3
Democratic Republic of the Congo,7.4
Denmark,52.1
Djibouti,20.3
Dominican Republic,5.7
Ecuador,19.7
Egypt,19.7
El Salvador,14.1
Equatorial Guinea,14.3
Eritrea,17.1
Estonia,55.6
Ethiopia,22.1
Fiji,49.2
Finland,52
France (metropolitan),43.1
"France, Guadeloupe",25
"France, La Reunion",14.7
"France, Martinique",29
"France, New Caledonia",31.5
French Guyana,18.2
French Polynesia,32.3
Gabon,12.9
The Gambia,2.6
Georgia,15.6
Germany,41.6
Ghana,11.9
Greece,44.5
Guatemala,7.7
Guinea,8.9
Guinea-Bissau,11.2
Guyana,30.1
Haiti,12.5
Honduras,8.4
Hungary,49.3
Iceland,29.3
India,12.9
Indonesia,27.6
"Iran, Islamic Republic of",14.1
Iraq,11.8
Ireland,46.1
Israel,39
Italy,53.8
Jamaica,24.2
Japan,44.3
Jordan,13
Kazakhstan,35
Kenya,13.5
"Korea, Republic of",36.1
Kuwait,13.1
Kyrgyzstan,19.8
Lao People%u2019s Democratic Republic,14.9
Latvia,67.1
Lebanon,25.6
Lesotho,5.6
Liberia,9.9
Libya,14.1
Lithuania,55.8
Luxembourg,47.6
Madagascar,5.6
Malawi,7.2
Malaysia,26.7
Maldives,21.4
Mali,13.1
Malta,57.2
Mauritania,10.6
Mauritius,29.4
Mexico,21.2
Mongolia,10.5
Montenegro,53.3
Morocco,14.2
Mozambique,2.9
Myanmar,19
Namibia,7.6
Nepal,16.7
Netherlands,35.6
New Zealand,40.7
Nicaragua,7.5
Niger,17.9
Nigeria,8.3
Norway,53.2
Oman,7.5
Pakistan,15.9
Panama,23.9
Papua New Guinea,22.9
Paraguay,17.6
Peru,18.5
Philippines,18.9
Poland,60.4
Portugal,32.1
Puerto Rico,22.2
Qatar,13
Republic of Moldova,33.8
Romania,44.2
Russian Federation,50.4
Rwanda,10
Samoa,15.9
Saudi Arabia,8.4
Senegal,10.7
Serbia,59.8
Sierra Leone,9.9
Singapore,54.6
Slovakia,50.1
Slovenia,54.4
Solomon Islands,31.8
Somalia,18.6
South Africa,17.3
South Sudan,15.5
Spain,39.3
Sri Lanka,22.4
Sudan,15.2
Suriname,34
Swaziland,7.1
Sweden,47.5
Switzerland,46.8
Syrian Arab Republic,13.5
Tajikistan,5.9
Thailand,27.3
The former Yugoslav Republic of Macedonia,53.8
Timor-Leste,12.2
Togo,13.6
Trinidad and Tobago,44.1
Tunisia,13.3
Turkey,20.8
Turkmenistan,8.4
Uganda,12.3
Ukraine,47.3
United Arab Emirates,14
United Kingdom,53.1
United Republic of Tanzania,4.2
United States of America,40.4
"United States of America, Guam",10.5
Uruguay,40.7
Uzbekistan,6.7
Vanuatu,15.5
Venezuela (Bolivarian Republic of),19.6
Viet Nam,9
West Bank and Gaza Strip,15.6
Yemen,9.1
Zambia,9.1
Zimbabwe,16.9
