Population,Value
Afghanistan,1.3
Albania,4.7
Algeria,1.7
Angola,1.1
Argentina,6.7
Armenia,9.3
Australia,6.6
Austria,8.2
Azerbaijan,2
Bahamas,3.3
Bahrain,2.9
Bangladesh,0.7
Barbados,4.6
Belarus,5
Belgium,5.7
Belize,4.6
Benin,0.6
Bhutan,3.1
Bolivia (Plurinational State of),2.4
Bosnia and Herzegovena,3.8
Botswana,1.5
Brazil,4.6
Brunei Darussalam,3.7
Bulgaria,8
Burkina Faso,0.7
Burundi,1.2
Cabo Verde,0
Cambodia,1.3
Cameroon,0.9
Canada,6.4
Central African Republic,0.9
Chad,1.3
Chile,4.8
China,3.6
Colombia,3.8
Comoros,0
Congo,1.1
Costa Rica,4.1
Croatia,6.9
Cuba,4.6
Cyprus,4.3
Czech Republic,9.7
Democratic People%u2019s Republic of Korea,4.9
Democratic Republic of the Congo,0.7
Denmark,8.5
Djibouti,0.2
Dominican Republic,3
Ecuador,3.2
Egypt,3.4
El Salvador,3.9
Equatorial Guinea,0.6
Eritrea,1
Estonia,7
Ethiopia,1
Fiji,2.1
Finland,8.7
France (metropolitan),6.9
"France, Guadeloupe",6.2
"France, La Reunion",4
"France, Martinique",4.6
"France, New Caledonia",6.5
French Guyana,8.1
French Polynesia,2.3
Gabon,0.7
The Gambia,1
Georgia,2.3
Germany,7.9
Ghana,1.2
Greece,5.8
Guatemala,2.5
Guinea,0.3
Guinea-Bissau,1
Guyana,2.8
Haiti,2.4
Honduras,3.3
Hungary,9.3
Iceland,5
India,1.2
Indonesia,2.7
"Iran, Islamic Republic of",1.8
Iraq,2.7
Ireland,6.6
Israel,7.6
Italy,6.7
Jamaica,3.3
Japan,8.5
Jordan,4.2
Kazakhstan,6.8
Kenya,2.9
"Korea, Republic of",6.7
Kuwait,3.1
Kyrgyzstan,4.2
Lao People%u2019s Democratic Republic,1
Latvia,8.1
Lebanon,3.1
Lesotho,0.4
Liberia,1.4
Libya,4.7
Lithuania,7.4
Luxembourg,6.1
Madagascar,2.3
Malawi,0.4
Malaysia,2.4
Maldives,0
Mali,1.3
Malta,8.1
Mauritania,1.2
Mauritius,3.9
Mexico,3.8
Mongolia,5
Montenegro,6.3
Morocco,2
Mozambique,2.7
Myanmar,1.8
Namibia,0.7
Nepal,1
Netherlands,6.3
New Zealand,5.9
Nicaragua,3.7
Niger,1.5
Nigeria,1.8
Norway,7.2
Oman,2.2
Pakistan,0.5
Panama,2.9
Papua New Guinea,1.3
Paraguay,4.7
Peru,4.6
Philippines,2.6
Poland,6.9
Portugal,5
Puerto Rico,4.3
Qatar,2.1
Republic of Moldova,8.1
Romania,7.9
Russian Federation,6
Rwanda,1.5
Samoa,0.7
Saudi Arabia,2.4
Senegal,0.8
Serbia,7.1
Sierra Leone,1.3
Singapore,5.1
Slovakia,9.4
Slovenia,8.8
Solomon Islands,0.9
Somalia,1.9
South Africa,4.7
South Sudan,1.6
Spain,6.3
Sri Lanka,0.6
Sudan,1.1
Suriname,4.7
Swaziland,0.6
Sweden,4.8
Switzerland,6.5
Syrian Arab Republic,3.5
Tajikistan,2
Thailand,2.1
The former Yugoslav Republic of Macedonia,7.7
Timor-Leste,3.9
Togo,1.3
Trinidad and Tobago,6.1
Tunisia,2
Turkey,4.5
Turkmenistan,2.1
Uganda,2.1
Ukraine,5.9
United Arab Emirates,2.9
United Kingdom,6.3
United Republic of Tanzania,0.2
United States of America,7.5
"United States of America, Guam",2.9
Uruguay,7.7
Uzbekistan,1.6
Vanuatu,0.8
Venezuela (Bolivarian Republic of),3.6
Viet Nam,1
West Bank and Gaza Strip,2.9
Yemen,2
Zambia,1.6
Zimbabwe,3.7
