Country Name,Country Code,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,SP.ADO.TFRT,117.39,111.4708,105.5516,99.6324,93.7132,87.794,82.2638,76.7336,71.2034,
Afghanistan,AFG,NV.AGR.TOTL.ZS,30.62285367,25.39474053,30.20560247,27.09154001,24.50744042,24.60324707,23.89137214,23.46312554,21.71541658,
Afghanistan,AFG,ER.H2O.FWTL.ZS,,,,,,,,43.0116649,,
Afghanistan,AFG,SH.STA.BRTC.ZS,,24,,34.3,38.6,,,,,
Afghanistan,AFG,EN.ATM.CO2E.PC,0.087857642,0.158961558,0.24907353,0.302936388,0.425262105,0.688083613,0.693183411,,,
Afghanistan,AFG,SP.DYN.CONU.ZS,,22.8,,21.8,21.2,,,,,
Afghanistan,AFG,FS.AST.DOMS.GD.ZS,0.53518055,4.925360069,3.988589513,4.191108994,-2.979078284,-4.026561901,-3.837871098,-2.280873952,0.343435848,
Afghanistan,AFG,EG.USE.ELEC.KH.PC,,,,,,,,,,
Afghanistan,AFG,EG.USE.PCAP.KG.OE,,,,,,,,,,
Afghanistan,AFG,NE.EXP.GNFS.ZS,17.82371427,17.99297469,14.70758895,10.02384975,6.107274005,5.516850325,6.307895041,6.634452475,7.149601181,
Afghanistan,AFG,DT.DOD.DECT.CD,2012885000,2133805000,2469925000,2425336000,2617442000,2719003000,2576828000,2580374000,2488551000,
Afghanistan,AFG,SP.DYN.TFRT.IN,6.437,6.218,5.985,5.746,5.506,5.272,5.05,4.843,,
Afghanistan,AFG,BX.KLT.DINV.CD.WD,188690000,46033740,197512727.5,54200551,57620844,61525860,39663686,48756005.3,169086610,
Afghanistan,AFG,AG.LND.FRST.K2,13500,13500,13500,13500,13500,13500,13500,13500,13500,
Afghanistan,AFG,NY.GDP.MKTP.CD,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20046334304,20050189882,19331286549,
