Population,Value
Afghanistan,3.7
Albania,15.8
Algeria,8.8
Angola,25
Argentina,44.1
Armenia,27.4
Australia,115.2
Austria,74.7
Azerbaijan,8.5
Bahamas,74.1
Bahrain,13.5
Bangladesh,1.7
Barbados,123.1
Belarus,34.4
Belgium,90.9
Belize,50.4
Benin,25.7
Bhutan,1.2
Bolivia (Plurinational State of),25.9
Bosnia and Herzegovena,21.4
Botswana,12
Brazil,76.2
Brunei Darussalam,21.8
Bulgaria,23.5
Burkina Faso,19.1
Burundi,41.4
Cabo Verde,19
Cambodia,5.6
Cameroon,23
Canada,88.9
Central African Republic,23.6
Chad,18.3
Chile,52.4
China,5.3
Colombia,51.3
Comoros,23.2
Congo,31.1
Costa Rica,67.5
Croatia,46.2
Cuba,84.2
Cyprus,55.1
Czech Republic,72.2
Democratic People%u2019s Republic of Korea,3.2
Democratic Republic of the Congo,37.4
Denmark,91.3
Djibouti,8.5
Dominican Republic,68.5
Ecuador,54.4
Egypt,7.8
El Salvador,27
Equatorial Guinea,19.4
Eritrea,8.5
Estonia,94.4
Ethiopia,6.4
Fiji,17.3
Finland,96.6
France (metropolitan),98
"France, Guadeloupe",105.2
"France, La Reunion",54.4
"France, Martinique",227.2
"France, New Caledonia",114.9
French Guyana,40.6
French Polynesia,114.6
Gabon,15.8
The Gambia,6.7
Georgia,18.6
Germany,77.3
Ghana,13
Greece,20.2
Guatemala,22.3
Guinea,34.7
Guinea-Bissau,19
Guyana,65.8
Haiti,38.6
Honduras,22.7
Hungary,37.5
Iceland,106.6
India,4.2
Indonesia,14.8
"Iran, Islamic Republic of",12.6
Iraq,8.7
Ireland,114.2
Israel,84.3
Italy,67.6
Jamaica,88
Japan,30.4
Jordan,15.3
Kazakhstan,14.9
Kenya,31.6
"Korea, Republic of",30.3
Kuwait,14.5
Kyrgyzstan,7.3
Lao People%u2019s Democratic Republic,3.5
Latvia,82.7
Lebanon,37.2
Lesotho,12.1
Liberia,27.2
Libya,15.5
Lithuania,60.9
Luxembourg,78.8
Madagascar,32.9
Malawi,10.8
Malaysia,10.8
Maldives,6.4
Mali,12.8
Malta,50.8
Mauritania,19
Mauritius,22.9
Mexico,27.3
Mongolia,3.4
Montenegro,33.7
Morocco,18.5
Mozambique,9.6
Myanmar,4.3
Namibia,22.2
Nepal,1.5
Netherlands,83.4
New Zealand,92.2
Nicaragua,23.3
Niger,9
Nigeria,30.7
Norway,129.7
Oman,10.2
Pakistan,5.3
Panama,39.4
Papua New Guinea,16.4
Paraguay,34.8
Peru,30.4
Philippines,18
Poland,35.9
Portugal,63.6
Puerto Rico,93.2
Qatar,13.2
Republic of Moldova,19.7
Romania,24.2
Russian Federation,30.1
Rwanda,25.6
Samoa,10.9
Saudi Arabia,9.5
Senegal,23.6
Serbia,36.6
Sierra Leone,27.2
Singapore,33.1
Slovakia,50
Slovenia,82.9
Solomon Islands,11.3
Somalia,19
South Africa,67.9
South Sudan,25.5
Spain,65.2
Sri Lanka,3
Sudan,10.3
Suriname,37.9
Swaziland,17.4
Sweden,119
Switzerland,107.2
Syrian Arab Republic,11.9
Tajikistan,2.3
Thailand,7.2
The former Yugoslav Republic of Macedonia,27.6
Timor-Leste,16.5
Togo,14.6
Trinidad and Tobago,123.9
Tunisia,11.3
Turkey,40.6
Turkmenistan,2.1
Uganda,48.2
Ukraine,20.3
United Arab Emirates,10
United Kingdom,73.2
United Republic of Tanzania,34.6
United States of America,98.2
"United States of America, Guam",60
Uruguay,60.6
Uzbekistan,2
Vanuatu,4.7
Venezuela (Bolivarian Republic of),35.8
Viet Nam,3.4
West Bank and Gaza Strip,15.2
Yemen,2.7
Zambia,21.9
Zimbabwe,37.3
