Population,Value
Afghanistan,8.6
Albania,15.1
Algeria,4.6
Angola,3.6
Argentina,4.2
Armenia,9.1
Australia,3.1
Austria,4.8
Azerbaijan,8.8
Bahamas,4.7
Bahrain,3.1
Bangladesh,4.1
Barbados,3.8
Belarus,12.2
Belgium,3.8
Belize,4.1
Benin,3.6
Bhutan,10.8
Bolivia (Plurinational State of),7.5
Bosnia and Herzegovena,6
Botswana,0.5
Brazil,6
Brunei Darussalam,5.5
Bulgaria,7
Burkina Faso,2.9
Burundi,2.8
Cabo Verde,3.9
Cambodia,3.3
Cameroon,2
Canada,3.1
Central African Republic,1.6
Chad,1.6
Chile,9.2
China,13.1
Colombia,9
Comoros,0.6
Congo,5.6
Costa Rica,13.7
Croatia,6.3
Cuba,4.4
Cyprus,3.3
Czech Republic,5.3
Democratic People%u2019s Republic of Korea,8.8
Democratic Republic of the Congo,1.7
Denmark,3.1
Djibouti,2.3
Dominican Republic,6.4
Ecuador,13.4
Egypt,2.3
El Salvador,14.1
Equatorial Guinea,2
Eritrea,2
Estonia,10.3
Ethiopia,2.9
Fiji,3
Finland,3.9
France (metropolitan),2.8
"France, Guadeloupe",7
"France, La Reunion",6.1
"France, Martinique",5.8
"France, New Caledonia",4.9
French Guyana,4.3
French Polynesia,5.6
Gabon,1.7
The Gambia,0.8
Georgia,7
Germany,5.4
Ghana,1.8
Greece,3.6
Guatemala,23.4
Guinea,2.7
Guinea-Bissau,2.6
Guyana,2.3
Haiti,6.4
Honduras,15.3
Hungary,6.5
Iceland,3.7
India,3.7
Indonesia,1.9
"Iran, Islamic Republic of",9.7
Iraq,4.4
Ireland,4.4
Israel,4.9
Italy,5.9
Jamaica,6.1
Japan,16.5
Jordan,5.3
Kazakhstan,12.8
Kenya,8.4
"Korea, Republic of",24.7
Kuwait,2.1
Kyrgyzstan,10.3
Lao People%u2019s Democratic Republic,1.7
Latvia,8.7
Lebanon,4.7
Lesotho,0.8
Liberia,2.8
Libya,2.8
Lithuania,8
Luxembourg,5.2
Madagascar,3
Malawi,2.5
Malaysia,5.7
Maldives,0.7
Mali,8.2
Malta,5.5
Mauritania,2.9
Mauritius,5.8
Mexico,6
Mongolia,20.2
Montenegro,7
Morocco,3
Mozambique,0.5
Myanmar,7.7
Namibia,1.3
Nepal,3.8
Netherlands,3.9
New Zealand,3.8
Nicaragua,8.5
Niger,1.5
Nigeria,2
Norway,3.8
Oman,3.9
Pakistan,2.2
Panama,7.5
Papua New Guinea,5.8
Paraguay,4.1
Peru,15
Philippines,2.9
Poland,4.9
Portugal,8.8
Puerto Rico,3.1
Qatar,5.6
Republic of Moldova,6.5
Romania,5.8
Russian Federation,10.8
Rwanda,9.7
Samoa,5.8
Saudi Arabia,2.4
Senegal,5.5
Serbia,5.7
Sierra Leone,2.7
Singapore,5.8
Slovakia,6.6
Slovenia,6.4
Solomon Islands,2
Somalia,5.7
South Africa,3.1
South Sudan,4.2
Spain,5.1
Sri Lanka,5.2
Sudan,0.9
Suriname,3.2
Swaziland,1.3
Sweden,2.7
Switzerland,3.6
Syrian Arab Republic,4.8
Tajikistan,15
Thailand,2.5
The former Yugoslav Republic of Macedonia,10.6
Timor-Leste,1.9
Togo,5
Trinidad and Tobago,2.4
Tunisia,3.2
Turkey,10.9
Turkmenistan,13.6
Uganda,3
Ukraine,9.1
United Arab Emirates,3.4
United Kingdom,3.1
United Republic of Tanzania,2.6
United States of America,2.7
"United States of America, Guam",0
Uruguay,6.7
Uzbekistan,8.8
Vanuatu,3.9
Venezuela (Bolivarian Republic of),6.2
Viet Nam,10.2
West Bank and Gaza Strip,5.2
Yemen,2.5
Zambia,4
Zimbabwe,8
