Population,Value
Afghanistan,0.9
Albania,4.3
Algeria,0.5
Angola,0.3
Argentina,5
Armenia,1.9
Australia,6.6
Austria,8.2
Azerbaijan,0.4
Bahamas,0
Bahrain,1.3
Bangladesh,0.5
Barbados,0
Belarus,2.6
Belgium,5.8
Belize,1.6
Benin,0.4
Bhutan,0
Bolivia (Plurinational State of),1
Bosnia and Herzegovena,3
Botswana,0.2
Brazil,1.8
Brunei Darussalam,0
Bulgaria,6.2
Burkina Faso,0.3
Burundi,0.2
Cabo Verde,0
Cambodia,1
Cameroon,0.4
Canada,5
Central African Republic,0.2
Chad,0.5
Chile,6.8
China,0.3
Colombia,2.8
Comoros,0
Congo,0.1
Costa Rica,4.2
Croatia,8.8
Cuba,1.4
Cyprus,4.2
Czech Republic,8.6
Democratic People%u2019s Republic of Korea,0.5
Democratic Republic of the Congo,0.1
Denmark,11.9
Djibouti,0
Dominican Republic,0.4
Ecuador,2.3
Egypt,0.5
El Salvador,0.4
Equatorial Guinea,0
Eritrea,0.3
Estonia,3.5
Ethiopia,0.3
Fiji,0.4
Finland,5.7
France (metropolitan),7.6
"France, Guadeloupe",0
"France, La Reunion",0.9
"France, Martinique",0.6
"France, New Caledonia",0.7
French Guyana,0
French Polynesia,1.9
Gabon,0
The Gambia,0
Georgia,3.3
Germany,9.7
Ghana,0.6
Greece,2.5
Guatemala,0.6
Guinea,0
Guinea-Bissau,0
Guyana,0
Haiti,0.4
Honduras,0.4
Hungary,10.9
Iceland,7.2
India,0.5
Indonesia,1.4
"Iran, Islamic Republic of",1.7
Iraq,1.1
Ireland,9.3
Israel,4.9
Italy,8.7
Jamaica,0.6
Japan,2.2
Jordan,1.7
Kazakhstan,2.4
Kenya,0.4
"Korea, Republic of",0.9
Kuwait,0.6
Kyrgyzstan,0.7
Lao People%u2019s Democratic Republic,0.4
Latvia,4.6
Lebanon,2.4
Lesotho,0.3
Liberia,0.2
Libya,0.7
Lithuania,2
Luxembourg,8.2
Madagascar,0.4
Malawi,0.4
Malaysia,0.9
Maldives,0
Mali,1.5
Malta,6.9
Mauritania,0.1
Mauritius,2.3
Mexico,2.8
Mongolia,0.6
Montenegro,4.6
Morocco,0.8
Mozambique,0.4
Myanmar,0.5
Namibia,0.5
Nepal,0.5
Netherlands,8.7
New Zealand,7.8
Nicaragua,0.4
Niger,0.8
Nigeria,0
Norway,12.2
Oman,0.4
Pakistan,0.9
Panama,0.2
Papua New Guinea,0.4
Paraguay,1.3
Peru,1.3
Philippines,0.5
Poland,4.7
Portugal,6
Puerto Rico,3.1
Qatar,0.5
Republic of Moldova,2
Romania,2.9
Russian Federation,1.7
Rwanda,0.1
Samoa,0
Saudi Arabia,0.6
Senegal,0.8
Serbia,5.5
Sierra Leone,0.4
Singapore,1.3
Slovakia,9.3
Slovenia,10.8
Solomon Islands,0
Somalia,0.4
South Africa,0.6
South Sudan,0.4
Spain,3.5
Sri Lanka,0.4
Sudan,0.7
Suriname,1.1
Swaziland,0.5
Sweden,7
Switzerland,12.1
Syrian Arab Republic,1.4
Tajikistan,0.8
Thailand,0.6
The former Yugoslav Republic of Macedonia,4.4
Timor-Leste,0.5
Togo,0.6
Trinidad and Tobago,0.6
Tunisia,0.5
Turkey,3.2
Turkmenistan,1.2
Uganda,0.3
Ukraine,2.5
United Arab Emirates,0.4
United Kingdom,6.8
United Republic of Tanzania,0
United States of America,5
"United States of America, Guam",0
Uruguay,5.5
Uzbekistan,0.7
Vanuatu,0
Venezuela (Bolivarian Republic of),0.9
Viet Nam,0.2
West Bank and Gaza Strip,1.6
Yemen,0.1
Zambia,0.4
Zimbabwe,0.3
