Population,Value
Afghanistan,0.3
Albania,0.9
Algeria,1.5
Angola,0.6
Argentina,1.7
Armenia,0.2
Australia,4.1
Austria,5.6
Azerbaijan,0.2
Bahamas,0
Bahrain,1.2
Bangladesh,0.2
Barbados,1.5
Belarus,3.6
Belgium,3.2
Belize,2.4
Benin,0.8
Bhutan,1
Bolivia (Plurinational State of),1.3
Bosnia and Herzegovena,0.7
Botswana,0.5
Brazil,2.5
Brunei Darussalam,2.9
Bulgaria,1
Burkina Faso,0.4
Burundi,0.3
Cabo Verde,0.4
Cambodia,1.3
Cameroon,0.2
Canada,4.8
Central African Republic,1.2
Chad,0.6
Chile,0.9
China,1.3
Colombia,1.2
Comoros,0
Congo,0.9
Costa Rica,2.1
Croatia,3.8
Cuba,1
Cyprus,3.4
Czech Republic,3
C™te d'Ivoire,0.1
Democratic People%u2019s Republic of Korea,1.3
Democratic Republic of the Congo,1.7
Denmark,1.9
Djibouti,1.3
Dominican Republic,0.5
Ecuador,3.1
Egypt,1.5
El Salvador,0.5
Equatorial Guinea,0
Eritrea,2.2
Estonia,1.6
Ethiopia,2.6
Fiji,2.2
Finland,2.5
France (metropolitan),4.1
"France, Guadeloupe",0
"France, La Reunion",0.1
"France, Martinique",2.4
"France, New Caledonia",8.3
French Guyana,0
French Polynesia,6.8
Gabon,0
The Gambia,0.7
Georgia,1.2
Germany,2.5
Ghana,0.5
Greece,0.5
Guatemala,0.5
Guinea,0.4
Guinea-Bissau,0.3
Guyana,0.6
Haiti,0
Honduras,0.7
Hungary,2.4
Iceland,2.4
India,0.7
Indonesia,1.9
"Iran, Islamic Republic of",1.4
Iraq,1.3
Ireland,1.5
Israel,5.4
Italy,6.7
Jamaica,1.6
Japan,2.2
Jordan,1.9
Kazakhstan,0.4
Kenya,0.8
"Korea, Republic of",17.3
Kuwait,1.5
Kyrgyzstan,0.2
Lao People%u2019s Democratic Republic,0.9
Latvia,2.2
Lebanon,2.3
Lesotho,0.2
Liberia,0.3
Libya,1
Lithuania,3.7
Luxembourg,4.9
Madagascar,0.2
Malawi,0.2
Malaysia,1.4
Maldives,0
Mali,1.5
Malta,2.4
Mauritania,0.8
Mauritius,0.7
Mexico,1.3
Mongolia,1
Montenegro,0.2
Morocco,1.1
Mozambique,0.3
Myanmar,1
Namibia,0.3
Nepal,1.1
Netherlands,1.4
New Zealand,2.6
Nicaragua,0.9
Niger,0.6
Nigeria,0.2
Norway,2.3
Oman,1
Pakistan,0.7
Panama,1.7
Papua New Guinea,1.9
Paraguay,1.3
Peru,1
Philippines,1.8
Poland,1.5
Portugal,1.6
Puerto Rico,5.8
Qatar,1.1
Republic of Moldova,1.7
Romania,0.9
Russian Federation,1.8
Rwanda,0.1
Samoa,0
Saudi Arabia,1.7
Senegal,1
Serbia,1
Sierra Leone,0.4
Singapore,2.1
Slovakia,1.9
Slovenia,3
Solomon Islands,1.9
Somalia,1.7
South Africa,0.7
South Sudan,1.2
Spain,2.6
Sri Lanka,1.2
Sudan,1.5
Suriname,1.6
Swaziland,0.3
Sweden,1.4
Switzerland,2.8
Syrian Arab Republic,1.6
Tajikistan,0
Thailand,2.8
The former Yugoslav Republic of Macedonia,1
Timor-Leste,4
Togo,0.5
Trinidad and Tobago,2.3
Tunisia,0.9
Turkey,3.8
Turkmenistan,0
Uganda,0.5
Ukraine,1.8
United Arab Emirates,0.9
United Kingdom,1.5
United Republic of Tanzania,0.2
United States of America,6.4
"United States of America, Guam",2
Uruguay,1.7
Uzbekistan,0.1
Vanuatu,2.2
Venezuela (Bolivarian Republic of),0.9
Viet Nam,1
West Bank and Gaza Strip,2.1
Yemen,1.5
Zambia,0.6
Zimbabwe,0.3
